sourceLine,tileAddress,token,text
1,06C010,B800,厮
2,06C022,B801,渴
3,06C034,B802,哭
4,06C046,B803,躯
5,06C058,B804,亦
6,06C06A,B805,缩
7,06C07C,B806,惨
8,06C08E,B807,坠
9,06C0A0,B808,言
10,06C0B2,B809,析
11,06C0C4,B80A,戮
12,06C0D6,B80B,玉
13,06C0E8,B80C,姐
14,06C0FA,B80D,赢
15,06C010,B80E,厮
16,06C010,B80F,厮
17,06C110,B810,益
18,06C122,B811,涉
19,06C134,B812,群
20,06C146,B813,众
21,06C158,B814,赋
22,06C16A,B815,估
23,06C17C,B816,妨
24,06C18E,B817,归
25,06C1A0,B818,藏
26,06C1B2,B819,、
27,06C1C4,B81A,弥
28,06C1D6,B81B,翁
29,06C1E8,B81C,鹰
30,06C1FA,B81D,苏
31,06C110,B81E,益
32,06C110,B81F,益
33,06C210,B820,奋
34,06C222,B821,陌
35,06C234,B822,燃
36,06C246,B823,殆
37,06C258,B824,怖
38,06C26A,B825,颤
39,06C27C,B826,栗
40,06C28E,B827,凝
41,06C2A0,B828,獠
42,06C2B2,B829,牙
43,06C2C4,B82A,偿
44,06C2D6,B82B,堪
45,06C2E8,B82C,摆
46,06C2FA,B82D,究
47,06C210,B82E,奋
48,06C210,B82F,奋
49,06C310,B830,背
50,06C322,B831,荣
51,06C334,B832,牺
52,06C346,B833,份
53,06C358,B834,逮
54,06C36A,B835,际
55,06C37C,B836,像
56,06C38E,B837,判
57,06C3A0,B838,饰
58,06C3B2,B839,雅
59,06C3C4,B83A,筋
60,06C3D6,B83B,深
61,06C3E8,B83C,屏
62,06C3FA,B83D,蔽
63,06C310,B83E,背
64,06C310,B83F,背
65,06C410,B840,朝
66,06C422,B841,汇
67,06C434,B842,周
68,06C446,B843,撑
69,06C458,B844,艘
70,06C46A,B845,右
71,06C47C,B846,幕
72,06C48E,B847,:
73,06C4A0,B848,愧
74,06C4B2,B849,父
75,06C4C4,B84A,隆
76,06C4D6,B84B,施
77,06C4E8,B84C,扔
78,06C4FA,B84D,臂
