frame	slot	y	0730	0740	0750	0760	0770	0780	0790	07A0	07B0	07C0	07D0	07E0	07F0
load	true	nil
35	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
35	00	1F	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	25	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	27	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	2D	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	2D	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	31	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	31	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	35	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	39	04	41	00	00	00	00	00	00	00	00	00	00	00
35	00	40	04	41	00	00	00	00	00	00	00	00	00	00	00
36	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
36	00	1F	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	25	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	27	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	2D	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	2D	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	31	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	31	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	35	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	39	04	41	00	00	00	00	00	00	00	00	00	00	00
36	00	40	04	41	00	00	00	00	00	00	00	00	00	00	00
37	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	BF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	C7	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	02	CF	07	40	00	00	00	00	00	00	00	00	00	00	00
37	00	1F	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	25	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	27	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	2D	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	2D	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	31	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	31	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	35	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	39	04	41	00	00	00	00	00	00	00	00	00	00	00
37	00	40	04	41	00	00	00	00	00	00	00	00	00	00	00
38	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
38	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
38	02	B7	07	40	00	00	00	00	00	00	00	00	00	00	00
