frame	y	ctrl	r0	r1	r2	r3
7040	00	88	FC	14	A2	01
7040	01	88	FC	14	00	01
7041	00	88	FC	14	A2	01
7041	01	88	FC	14	00	01
7042	00	88	FC	14	A2	01
7042	01	88	FC	14	00	01
7043	00	88	FC	14	A2	01
7043	01	88	FC	14	00	01
7044	00	88	FC	14	A2	01
7044	01	88	FC	14	00	01
7045	00	88	FC	14	A2	01
7045	01	88	FC	14	00	01
7046	00	88	FC	14	A2	01
7046	01	88	FC	14	00	01
7047	00	88	FC	14	A2	01
7047	01	88	FC	14	00	01
7048	00	88	FC	14	A2	01
7048	01	88	FC	14	00	01
7049	00	88	FC	14	A2	01
7049	01	88	FC	14	00	01
7050	00	88	FC	14	A2	01
7050	01	88	FC	14	00	01
7051	00	88	FC	14	A2	01
7051	01	88	FC	14	00	01
7052	00	88	FC	14	A2	01
7052	01	88	FC	14	00	01
7053	00	88	FC	14	A2	01
7053	01	88	FC	14	00	01
7054	00	88	FC	14	A2	01
7054	01	88	FC	14	00	01
7055	00	88	FC	14	A2	01
7055	01	88	FC	14	00	01
7056	00	88	FC	14	A2	01
7056	01	88	FC	14	00	01
7057	00	88	FC	14	A2	01
7057	01	88	FC	14	00	01
7058	00	88	FC	14	A2	01
7058	01	88	FC	14	00	01
7059	00	88	FC	14	A2	01
7059	01	88	FC	14	00	01
7060	00	88	FC	14	A2	01
7060	01	88	FC	14	00	01
7061	00	88	FC	14	A2	01
7061	01	88	FC	14	00	01
7062	00	88	FC	14	A2	01
7062	01	88	FC	14	00	01
7063	00	88	FC	14	A2	01
7063	01	88	FC	14	00	01
7064	00	88	FC	14	A2	01
7064	01	88	FC	14	00	01
7065	00	88	FC	14	A2	01
7065	01	88	FC	14	00	01
7066	00	88	FC	14	A2	01
7066	01	88	FC	14	00	01
7067	00	88	FC	14	A2	01
7067	01	88	FC	14	00	01
7068	00	88	FC	14	A2	01
7068	01	88	FC	14	00	01
7069	00	88	FC	14	A2	01
7069	01	88	FC	14	00	01
7070	00	88	FC	14	A2	01
7070	01	88	FC	14	00	01
7071	00	88	FC	14	A2	01
7071	01	88	FC	14	00	01
7072	00	88	FC	14	A2	01
7072	01	88	FC	14	00	01
7073	00	88	FC	14	A2	01
7073	01	88	FC	14	00	01
7074	00	88	FC	14	A2	01
7074	01	88	FC	14	00	01
7075	00	88	FC	14	A2	01
7075	01	88	FC	14	00	01
7076	00	88	FC	14	A2	01
7076	01	88	FC	14	00	01
7077	00	88	FC	14	A2	01
7077	01	88	FC	14	00	01
7078	00	88	FC	14	A2	01
7078	01	88	FC	14	00	01
7079	00	88	FC	14	A2	01
7079	01	88	FC	14	00	01
7080	00	88	FC	14	A2	01
7080	01	88	FC	14	00	01
7081	00	88	FC	14	A2	01
7081	01	88	FC	14	00	01
7082	00	88	FC	14	A2	01
7082	01	88	FC	14	00	01
7083	00	88	FC	14	A2	01
7083	01	88	FC	14	00	01
7084	00	88	FC	14	A2	01
7084	01	88	FC	14	00	01
7085	00	88	FC	14	A2	01
7085	01	88	FC	14	00	01
7086	00	88	FC	14	A2	01
7086	01	88	FC	14	00	01
7087	00	88	FC	14	A2	01
7087	01	88	FC	14	00	01
7088	00	88	FC	14	A2	01
7088	01	88	FC	14	00	01
7089	00	88	FC	14	A2	01
7089	01	88	FC	14	00	01
7090	00	88	FC	14	A2	01
7090	01	88	FC	14	00	01
7091	00	88	FC	14	A2	01
7091	01	88	FC	14	00	01
7092	00	88	FC	14	A2	01
7092	01	88	FC	14	00	01
7093	00	88	FC	14	A2	01
7093	01	88	FC	14	00	01
7094	00	88	FC	14	A2	01
7094	01	88	FC	14	00	01
7095	00	88	FC	14	A2	01
7095	01	88	FC	14	00	01
7096	00	88	FC	14	A2	01
7096	01	88	FC	14	00	01
7097	00	88	FC	14	A2	01
7097	01	88	FC	14	00	01
7098	00	88	FC	14	A2	01
7098	01	88	FC	14	00	01
7099	00	88	FC	14	A2	01
7099	01	88	FC	14	00	01
7100	00	88	FC	14	A2	01
7100	01	88	FC	14	00	01
7101	00	88	FC	14	A2	01
7101	01	88	FC	14	00	01
7102	00	88	FC	14	A2	01
7102	01	88	FC	14	00	01
7103	00	88	FC	14	A2	01
7103	01	88	FC	14	00	01
7104	00	88	FC	14	A2	01
7104	01	88	FC	14	00	01
7105	00	88	FC	14	A2	01
7105	01	88	FC	14	00	01
7106	00	88	FC	14	A2	01
7106	01	88	FC	14	00	01
7107	00	88	FC	14	A2	01
7107	01	88	FC	14	00	01
7108	00	88	FC	14	A2	01
7108	01	88	FC	14	00	01
7109	00	88	FC	14	A2	01
7109	01	88	FC	14	00	01
7110	00	88	FC	14	A2	01
7110	01	88	FC	14	00	01
7111	00	88	FC	14	A2	01
7111	01	88	FC	14	00	01
7112	00	88	FC	14	A2	01
7112	01	88	FC	14	00	01
7113	00	88	FC	14	A2	01
7113	01	88	FC	14	00	01
7114	00	88	FC	14	A2	01
7114	01	88	FC	14	00	01
7115	00	88	FC	14	A2	01
7115	01	88	FC	14	00	01
7116	00	88	FC	14	A2	01
7116	01	88	FC	14	00	01
7117	00	88	FC	14	A2	01
7117	01	88	FC	14	00	01
7118	00	88	FC	14	A2	01
7118	01	88	FC	14	00	01
7119	00	88	FC	14	A2	01
7119	01	88	FC	14	00	01
7120	00	88	FC	14	A2	01
7120	01	88	FC	14	00	01
7121	00	88	FC	14	A2	01
7121	01	88	FC	14	00	01
7122	00	88	FC	14	A2	01
7122	01	88	FC	14	00	01
7123	00	88	FC	14	A2	01
7123	01	88	FC	14	00	01
7124	00	88	FC	14	A2	01
7124	01	88	FC	14	00	01
7125	00	88	FC	14	A2	01
7125	01	88	FC	14	00	01
7126	00	88	FC	14	A2	01
7126	01	88	FC	14	00	01
7127	00	88	FC	14	A2	01
7127	01	88	FC	14	00	01
7128	00	88	FC	14	A2	01
7128	01	88	FC	14	00	01
7129	00	88	FC	14	A2	01
7129	01	88	FC	14	00	01
7130	00	88	FC	14	A2	01
7130	01	88	FC	14	00	01
7131	00	88	FC	14	A2	01
7131	01	88	FC	14	00	01
7132	00	88	FC	14	A2	01
7132	01	88	FC	14	00	01
7133	00	88	FC	14	A2	01
7133	01	88	FC	14	00	01
7134	00	88	FC	14	A2	01
7134	01	88	FC	14	00	01
7135	00	88	FC	14	A2	01
7135	01	88	FC	14	00	01
7136	00	88	FC	14	A2	01
7136	01	88	FC	14	00	01
7137	00	88	FC	14	A2	01
7137	01	88	FC	14	00	01
7138	00	88	FC	14	A2	01
7138	01	88	FC	14	00	01
7139	00	88	FC	14	A2	01
7139	01	88	FC	14	00	01
7140	00	88	FC	14	A2	01
7140	01	88	FC	14	00	01
7141	00	88	FC	14	A2	01
7141	01	88	FC	14	00	01
7142	00	88	FC	14	A2	01
7142	01	88	FC	14	00	01
7143	00	88	FC	14	A2	01
7143	01	88	FC	14	00	01
7144	00	88	FC	14	A2	01
7144	01	88	FC	14	00	01
7145	00	88	FC	14	A2	01
7145	01	88	FC	14	00	01
7146	00	88	FC	14	A2	01
7146	01	88	FC	14	00	01
7147	00	88	FC	14	A2	01
7147	01	88	FC	14	00	01
7148	00	88	FC	14	A2	01
7148	01	88	FC	14	00	01
7149	00	88	FC	14	A2	01
7149	01	88	FC	14	00	01
7150	00	88	FC	14	A2	01
7150	01	88	FC	14	00	01
7151	00	88	FC	14	A2	01
7151	01	88	FC	14	00	01
7152	00	88	FC	14	A2	01
7152	01	88	FC	14	00	01
7153	00	88	FC	14	A2	01
7153	01	88	FC	14	00	01
7154	00	88	FC	14	A2	01
7154	01	88	FC	14	00	01
7155	00	88	FC	14	A2	01
7155	01	88	FC	14	00	01
7156	00	88	FC	14	A2	01
7156	01	88	FC	14	00	01
7157	00	88	FC	14	A2	01
7157	01	88	FC	14	00	01
7158	00	88	FC	14	A2	01
7158	01	88	FC	14	00	01
7159	00	88	FC	14	A2	01
7159	01	88	FC	14	00	01
7160	00	88	FC	14	A2	01
7160	01	88	FC	14	00	01
7161	00	88	FC	14	A2	01
7161	01	88	FC	14	00	01
7162	00	88	FC	14	A2	01
7162	01	88	FC	14	00	01
7163	00	88	FC	14	A2	01
7163	01	88	FC	14	00	01
7164	00	88	FC	14	A2	01
7164	01	88	FC	14	00	01
7165	00	88	FC	14	A2	01
7165	01	88	FC	14	00	01
7166	00	88	FC	14	A2	01
7166	01	88	FC	14	00	01
7167	00	88	FC	14	A2	01
7167	01	88	FC	14	00	01
7168	00	88	FC	14	A2	01
7168	01	88	FC	14	00	01
7169	00	88	FC	14	A2	01
7169	01	88	FC	14	00	01
7170	00	88	FC	14	A2	01
7170	01	88	FC	14	00	01
7171	00	88	FC	14	A2	01
7171	01	88	FC	14	00	01
7172	00	88	FC	14	A2	01
7172	01	88	FC	14	00	01
7173	00	88	FC	14	A2	01
7173	01	88	FC	14	00	01
7174	00	88	FC	14	A2	01
7174	01	88	FC	14	00	01
7175	00	88	FC	14	A2	01
7175	01	88	FC	14	00	01
7176	00	88	FC	14	A2	01
7176	01	88	FC	14	00	01
7177	00	88	FC	14	A2	01
7177	01	88	FC	14	00	01
7178	00	88	FC	14	A2	01
7178	01	88	FC	14	00	01
7179	00	88	FC	14	A2	01
7179	01	88	FC	14	00	01
7180	00	88	FC	14	A2	01
7180	01	88	FC	14	00	01
7181	00	88	FC	14	A2	01
7181	01	88	FC	14	00	01
7182	00	88	FC	14	A2	01
7182	01	88	FC	14	00	01
7183	00	88	FC	14	A2	01
7183	01	88	FC	14	00	01
7184	00	88	FC	14	A2	01
7184	01	88	FC	14	00	01
7185	00	88	FC	14	A2	01
7185	01	88	FC	14	00	01
7186	00	88	FC	14	A2	01
7186	01	88	FC	14	00	01
7187	00	88	FC	0A	A2	01
7187	01	88	FC	0A	00	01
7188	00	88	FC	0A	A2	01
7188	01	88	FC	0A	00	01
7189	00	88	FC	0A	A2	01
7189	01	88	FC	0A	00	01
7190	00	88	FC	0A	A2	01
7190	01	88	FC	0A	00	01
7191	00	88	FC	0A	A2	01
7191	01	88	FC	0A	00	01
7192	00	88	FC	0A	A2	01
7192	01	88	FC	0A	00	01
7193	00	88	FC	0A	A2	01
7193	01	88	FC	0A	00	01
7194	00	88	FC	0A	A2	01
7194	01	88	FC	0A	00	01
7195	00	88	FC	0A	A2	01
7195	01	88	FC	0A	00	01
7196	00	88	FC	0A	A2	01
7196	01	88	FC	0A	00	01
7197	00	88	FC	0A	A2	01
7197	01	88	FC	0A	00	01
7198	00	88	FC	0A	A2	01
7198	01	88	FC	0A	00	01
7199	00	88	FC	0A	A2	01
7199	01	88	FC	0A	00	01
7200	00	88	FC	0A	A2	01
7200	01	88	FC	0A	00	01
7201	00	88	FC	0A	A2	01
7201	01	88	FC	0A	00	01
7202	00	88	FC	0A	A2	01
7202	01	88	FC	0A	00	01
7203	00	88	FC	0A	A2	01
7203	01	88	FC	0A	00	01
7204	00	88	FC	0A	A2	01
7204	01	88	FC	0A	00	01
7205	00	88	FC	0A	A2	01
7205	01	88	FC	0A	00	01
7206	00	88	FC	0A	A2	01
7206	01	88	FC	0A	00	01
7207	00	88	FC	0A	A2	01
7207	01	88	FC	0A	00	01
7208	00	88	FC	0A	A2	01
7208	01	88	FC	0A	00	01
7209	00	88	FC	0A	A2	01
7209	01	88	FC	0A	00	01
7210	00	88	FC	0A	A2	01
7210	01	88	FC	0A	00	01
7211	00	88	FC	0A	A2	01
7211	01	88	FC	0A	00	01
7212	00	88	FC	0A	A2	01
7212	01	88	FC	0A	00	01
7213	00	88	FC	0A	A2	01
7213	01	88	FC	0A	00	01
7214	00	88	FC	0A	A2	01
7214	01	88	FC	0A	00	01
7215	00	88	FC	0A	A2	01
7215	01	88	FC	0A	00	01
7216	00	88	FC	0A	A2	01
7216	01	88	FC	0A	00	01
7217	00	88	FC	0A	A2	01
7217	01	88	FC	0A	00	01
7218	00	88	FC	0A	A2	01
