frame	y	r0	r1	r5	scanline
6750	00	FC	E2	0A	-1
6750	01	FC	0A	0A	-1
6751	00	FC	E2	0A	-1
6751	01	FC	0A	0A	-1
6752	00	FC	E2	0A	-1
6752	01	FC	0A	0A	-1
6753	00	FC	E2	0A	-1
6753	01	FC	0A	0A	-1
6754	00	FC	E2	0A	-1
6754	01	FC	0A	0A	-1
6755	00	FC	E2	0A	-1
6755	01	FC	0A	0A	-1
6756	00	FC	E2	0A	-1
6756	01	FC	0A	0A	-1
6757	00	FC	E2	0A	-1
6757	01	FC	0A	0A	-1
6758	00	FC	E2	0A	-1
6758	01	FC	0A	0A	-1
6759	00	FC	E2	0A	-1
6759	01	FC	0A	0A	-1
6760	00	FC	E2	0A	-1
6760	01	FC	0A	0A	-1
6761	00	FC	E2	0A	-1
6761	01	FC	0A	0A	-1
6762	00	FC	E2	0A	-1
6762	01	FC	0A	0A	-1
6763	00	FC	E2	0A	-1
6763	01	FC	0A	0A	-1
6764	00	FC	E2	0A	-1
6764	01	FC	0A	0A	-1
6765	00	FC	E2	0A	-1
6765	01	FC	0A	0A	-1
6766	00	FC	E2	0A	-1
6766	01	FC	0A	0A	-1
6767	00	FC	E2	0A	-1
6767	01	FC	0A	0A	-1
6768	00	FC	E2	0A	-1
6768	01	FC	0A	0A	-1
6769	00	FC	E2	0A	-1
6769	01	FC	0A	0A	-1
6770	00	FC	E2	0A	-1
6770	01	FC	0A	0A	-1
6771	00	FC	E2	0A	-1
6771	01	FC	0A	0A	-1
6772	00	FC	E2	0A	-1
6772	01	FC	0A	0A	-1
6773	00	FC	E2	0A	-1
6773	01	FC	0A	0A	-1
6774	00	FC	E2	0A	-1
6774	01	FC	0A	0A	-1
6775	00	FC	E2	0A	-1
6775	01	FC	0A	0A	-1
6776	00	FC	E2	0A	-1
6776	01	FC	0A	0A	-1
6777	00	FC	E2	0A	-1
6777	01	FC	0A	0A	-1
6778	00	FC	E2	0A	-1
6778	01	FC	0A	0A	-1
6779	00	FC	E2	0A	-1
6779	01	FC	0A	0A	-1
6780	00	FC	E2	0A	-1
6780	01	FC	0A	0A	-1
6781	00	FC	E2	0A	-1
6781	01	FC	0A	0A	-1
6782	00	FC	E2	0A	-1
6782	01	FC	0A	0A	-1
6783	00	FC	E2	0A	-1
6783	01	FC	0A	0A	-1
6784	00	FC	E2	0A	-1
6784	01	FC	0A	0A	-1
6785	00	FC	E2	0A	-1
6785	01	FC	0A	0A	-1
6786	00	FC	E2	0A	-1
6786	01	FC	0A	0A	-1
6787	00	FC	E2	0A	-1
6787	01	FC	0A	0A	-1
6788	00	FC	E2	0A	-1
6788	01	FC	0A	0A	-1
6789	00	FC	E2	0A	-1
6789	01	FC	0A	0A	-1
6790	00	FC	E2	0A	-1
6790	01	FC	0A	0A	-1
6791	00	FC	E2	0A	-1
6791	01	FC	0A	0A	-1
6792	00	FC	E2	0A	-1
6792	01	FC	0A	0A	-1
6793	00	FC	E2	0A	-1
6793	01	FC	0A	0A	-1
6794	00	FC	E2	0A	-1
6794	01	FC	0A	0A	-1
6795	00	FC	E2	0A	-1
6795	01	FC	0A	0A	-1
6796	00	FC	E2	0A	-1
6796	01	FC	0A	0A	-1
6797	00	FC	E2	0A	-1
6797	01	FC	0A	0A	-1
6798	00	FC	E2	0A	-1
6798	01	FC	0A	0A	-1
6799	00	FC	E2	0A	-1
6799	01	FC	0A	0A	-1
6800	00	FC	E2	0A	-1
6800	01	FC	0A	0A	-1
6801	00	FC	E2	0A	-1
6801	01	FC	0A	0A	-1
6802	00	FC	E2	0A	-1
6802	01	FC	0A	0A	-1
6803	00	FC	E2	0A	-1
6803	01	FC	0A	0A	-1
6804	00	FC	E2	0A	-1
6804	01	FC	0A	0A	-1
6805	00	FC	E2	0A	-1
6805	01	FC	0A	0A	-1
6806	00	FC	E2	0A	-1
6806	01	FC	0A	0A	-1
6807	00	FC	E2	0A	-1
6807	01	FC	0A	0A	-1
6808	00	FC	E2	0A	-1
6808	01	FC	0A	0A	-1
6809	00	FC	E2	0A	-1
6809	01	FC	0A	0A	-1
6810	00	FC	E2	0A	-1
6810	01	FC	0A	0A	-1
6811	00	FC	E2	0A	-1
6811	01	FC	0A	0A	-1
6812	00	FC	E2	0A	-1
6812	01	FC	0A	0A	-1
6813	00	FC	E2	0A	-1
6813	01	FC	0A	0A	-1
6814	00	FC	E2	0A	-1
6814	01	FC	0A	0A	-1
6815	00	FC	E2	0A	-1
6815	01	FC	0A	0A	-1
6816	00	FC	E2	0A	-1
6816	01	FC	0A	0A	-1
6817	00	FC	E2	0A	-1
6817	01	FC	0A	0A	-1
6818	00	FC	E2	0A	-1
6818	01	FC	0A	0A	-1
6819	00	FC	E2	0A	-1
6819	01	FC	0A	0A	-1
6820	00	FC	E2	0A	-1
6820	01	FC	0A	0A	-1
6821	00	FC	E2	0A	-1
6821	01	FC	0A	0A	-1
6822	00	FC	E2	0A	-1
6822	01	FC	0A	0A	-1
6823	00	FC	E2	0A	-1
6823	01	FC	0A	0A	-1
6824	00	FC	E2	0A	-1
6824	01	FC	0A	0A	-1
6825	00	FC	E2	0A	-1
6825	01	FC	0A	0A	-1
6826	00	FC	E2	0A	-1
6826	01	FC	0A	0A	-1
6827	00	FC	E2	0A	-1
6827	01	FC	0A	0A	-1
6828	00	FC	E2	0A	-1
6828	01	FC	0A	0A	-1
6829	00	FC	E2	0A	-1
6829	01	FC	0A	0A	-1
6830	00	FC	E2	0A	-1
6830	01	FC	0A	0A	-1
6831	00	FC	E2	0A	-1
6831	01	FC	0A	0A	-1
6832	00	FC	E2	0A	-1
6832	01	FC	0A	0A	-1
6833	00	FC	E2	0A	-1
6833	01	FC	0A	0A	-1
6834	00	FC	E2	0A	-1
6834	01	FC	0A	0A	-1
6835	00	FC	E2	0A	-1
6835	01	FC	0A	0A	-1
6836	00	FC	E2	0A	-1
6836	01	FC	0A	0A	-1
6837	00	FC	E2	0A	-1
6837	01	FC	0A	0A	-1
6838	00	FC	E2	0A	-1
6838	01	FC	0A	0A	-1
6839	00	FC	E2	0A	-1
6839	01	FC	0A	0A	-1
6840	00	FC	E2	0A	-1
6840	01	FC	0A	0A	-1
6841	00	FC	E2	0A	-1
6841	01	FC	0A	0A	-1
6842	00	FC	E2	0A	-1
6842	01	FC	0A	0A	-1
6843	00	FC	E2	0A	-1
6843	01	FC	0A	0A	-1
6844	00	FC	E2	0A	-1
6844	01	FC	0A	0A	-1
6845	00	FC	E2	0A	-1
6845	01	FC	0A	0A	-1
6846	00	FC	E2	0A	-1
6846	01	FC	0A	0A	-1
6847	00	FC	E2	0A	-1
6847	01	FC	0A	0A	-1
6848	00	FC	E2	0A	-1
6848	01	FC	0A	0A	-1
6849	00	FC	E2	0A	-1
6849	01	FC	0A	0A	-1
6850	00	FC	E2	0A	-1
6850	01	FC	0A	0A	-1
6851	00	FC	E2	0A	-1
6851	01	FC	0A	0A	-1
6852	00	FC	E2	0A	-1
6852	01	FC	0A	0A	-1
6853	00	FC	E2	0A	-1
6853	01	FC	0A	0A	-1
6854	00	FC	E2	0A	-1
6854	01	FC	0A	0A	-1
6855	00	FC	E2	0A	-1
6855	01	FC	0A	0A	-1
6856	00	FC	E2	0A	-1
6856	01	FC	0A	0A	-1
6857	00	FC	E2	0A	-1
6857	01	FC	0A	0A	-1
6858	00	FC	E2	0A	-1
6858	01	FC	0A	0A	-1
6859	00	FC	14	14	-1
6859	01	FC	14	14	-1
6860	00	FC	14	14	-1
6860	01	FC	14	14	-1
6861	00	FC	14	14	-1
6861	01	FC	14	14	-1
6862	00	FC	14	14	-1
6862	01	FC	14	14	-1
6863	00	FC	14	14	-1
6863	01	FC	14	14	-1
6864	00	FC	14	14	-1
6864	01	FC	14	14	-1
6865	00	FC	14	14	-1
6865	01	FC	14	14	-1
6866	00	FC	14	14	-1
6866	01	FC	14	14	-1
6867	00	FC	14	14	-1
6867	01	FC	14	14	-1
6868	00	FC	14	14	-1
6868	01	FC	14	14	-1
6869	00	FC	14	14	-1
6869	01	FC	14	14	-1
6870	00	FC	14	14	-1
6870	01	FC	14	14	-1
6871	00	FC	14	14	-1
6871	01	FC	14	14	-1
6872	00	FC	14	14	-1
6872	01	FC	14	14	-1
6873	00	FC	14	14	-1
6873	01	FC	14	14	-1
6874	00	FC	14	14	-1
6874	01	FC	14	14	-1
6875	00	FC	14	14	-1
6875	01	FC	14	14	-1
6876	00	FC	14	14	-1
6876	01	FC	14	14	-1
6877	00	FC	14	14	-1
6877	01	FC	14	14	-1
6878	00	FC	14	14	-1
6878	01	FC	14	14	-1
6879	00	FC	14	14	-1
6879	01	FC	14	14	-1
6880	00	FC	14	14	-1
6880	01	FC	14	14	-1
6881	00	FC	14	14	-1
6881	01	FC	14	14	-1
6882	00	FC	14	14	-1
6882	01	FC	14	14	-1
6883	00	FC	14	14	-1
6883	01	FC	14	14	-1
6884	00	FC	14	14	-1
6884	01	FC	14	14	-1
6885	00	FC	14	14	-1
6885	01	FC	14	14	-1
6886	00	FC	14	14	-1
6886	01	FC	14	14	-1
6887	00	FC	14	14	-1
6887	01	FC	14	14	-1
6888	00	FC	14	14	-1
6888	01	FC	14	14	-1
6889	00	FC	14	14	-1
6889	01	FC	14	14	-1
6890	00	FC	14	14	-1
6890	01	FC	14	14	-1
6891	00	FC	14	14	-1
6891	01	FC	14	14	-1
6892	00	FC	14	14	-1
6892	01	FC	14	14	-1
6893	00	FC	14	14	-1
6893	01	FC	14	14	-1
6894	00	FC	14	14	-1
6894	01	FC	14	14	-1
6895	00	FC	14	14	-1
6895	01	FC	14	14	-1
6896	00	FC	14	14	-1
6896	01	FC	14	14	-1
6897	00	FC	14	14	-1
6897	01	FC	14	14	-1
6898	00	FC	14	14	-1
6898	01	FC	14	14	-1
6899	00	FC	14	14	-1
6899	01	FC	14	14	-1
6900	00	FC	14	14	-1
6900	01	FC	14	14	-1
6901	00	FC	14	14	-1
6901	01	FC	14	14	-1
6902	00	FC	14	14	-1
6902	01	FC	14	14	-1
6903	00	FC	14	14	-1
6903	01	FC	14	14	-1
6904	00	FC	14	14	-1
6904	01	FC	14	14	-1
6905	00	FC	14	14	-1
6905	01	FC	14	14	-1
6906	00	FC	14	14	-1
6906	01	FC	14	14	-1
6907	00	FC	14	14	-1
6907	01	FC	14	14	-1
6908	00	FC	14	14	-1
6908	01	FC	14	14	-1
6909	00	FC	14	14	-1
6909	01	FC	14	14	-1
6910	00	FC	14	14	-1
6910	01	FC	14	14	-1
6911	00	FC	14	14	-1
6911	01	FC	14	14	-1
6912	00	FC	14	14	-1
6912	01	FC	14	14	-1
6913	00	FC	14	14	-1
6913	01	FC	14	14	-1
6914	00	FC	14	14	-1
6914	01	FC	14	14	-1
6915	00	FC	14	14	-1
6915	01	FC	14	14	-1
6916	00	FC	14	14	-1
6916	01	FC	14	14	-1
6917	00	FC	14	14	-1
6917	01	FC	14	14	-1
6918	00	FC	14	14	-1
6918	01	FC	14	14	-1
6919	00	FC	14	14	-1
6919	01	FC	14	14	-1
6920	00	FC	14	14	-1
6920	01	FC	14	14	-1
6921	00	FC	14	14	-1
6921	01	FC	14	14	-1
6922	00	FC	14	14	-1
6922	01	FC	14	14	-1
6923	00	FC	14	14	-1
6923	01	FC	14	14	-1
6924	00	FC	14	14	-1
6924	01	FC	14	14	-1
6925	00	FC	14	14	-1
6925	01	FC	14	14	-1
6926	00	FC	14	14	-1
6926	01	FC	14	14	-1
6927	00	FC	14	14	-1
6927	01	FC	14	14	-1
6928	00	FC	14	14	-1
6928	01	FC	14	14	-1
6929	00	FC	14	14	-1
6929	01	FC	14	14	-1
6930	00	FC	14	14	-1
6930	01	FC	14	14	-1
6931	00	FC	14	14	-1
6931	01	FC	14	14	-1
6932	00	FC	14	14	-1
6932	01	FC	14	14	-1
6933	00	FC	14	14	-1
6933	01	FC	14	14	-1
6934	00	FC	14	14	-1
6934	01	FC	14	14	-1
6935	00	FC	14	14	-1
6935	01	FC	14	14	-1
6936	00	FC	14	14	-1
6936	01	FC	14	14	-1
6937	00	FC	14	14	-1
6937	01	FC	14	14	-1
6938	00	FC	14	14	-1
6938	01	FC	14	14	-1
6939	00	FC	14	14	-1
6939	01	FC	14	14	-1
6940	00	FC	14	14	-1
6940	01	FC	14	14	-1
6941	00	FC	14	14	-1
6941	01	FC	14	14	-1
6942	00	FC	14	14	-1
6942	01	FC	14	14	-1
6943	00	FC	14	14	-1
6943	01	FC	14	14	-1
6944	00	FC	14	14	-1
6944	01	FC	14	14	-1
6945	00	FC	14	14	-1
6945	01	FC	14	14	-1
6946	00	FC	14	14	-1
6946	01	FC	14	14	-1
6947	00	FC	14	14	-1
6947	01	FC	14	14	-1
6948	00	FC	14	14	-1
6948	01	FC	14	14	-1
6949	00	FC	14	14	-1
6949	01	FC	14	14	-1
6950	00	FC	14	14	-1
6950	01	FC	14	14	-1
6951	00	FC	14	14	-1
6951	01	FC	14	14	-1
6952	00	FC	14	14	-1
6952	01	FC	14	14	-1
6953	00	FC	14	14	-1
6953	01	FC	14	14	-1
6954	00	FC	14	14	-1
6954	01	FC	14	14	-1
6955	00	FC	14	14	-1
6955	01	FC	14	14	-1
6956	00	FC	14	14	-1
6956	01	FC	14	14	-1
6957	00	FC	14	14	-1
6957	01	FC	14	14	-1
6958	00	FC	14	14	-1
6958	01	FC	14	14	-1
6959	00	FC	14	14	-1
6959	01	FC	14	14	-1
6960	00	FC	14	14	-1
6960	01	FC	14	14	-1
6961	00	FC	14	14	-1
6961	01	FC	14	14	-1
6962	00	FC	14	14	-1
6962	01	FC	14	14	-1
6963	00	FC	14	14	-1
6963	01	FC	14	14	-1
6964	00	FC	14	14	-1
6964	01	FC	14	14	-1
6965	00	FC	14	14	-1
6965	01	FC	14	14	-1
6966	00	FC	14	14	-1
6966	01	FC	14	14	-1
6967	00	FC	14	14	-1
6967	01	FC	14	14	-1
6968	00	FC	14	14	-1
6968	01	FC	14	14	-1
6969	00	FC	14	14	-1
6969	01	FC	14	14	-1
6970	00	FC	14	14	-1
6970	01	FC	14	14	-1
6971	00	FC	14	14	-1
6971	01	FC	14	14	-1
6972	00	FC	14	14	-1
6972	01	FC	14	14	-1
6973	00	FC	14	14	-1
6973	01	FC	14	14	-1
6974	00	FC	14	14	-1
6974	01	FC	14	14	-1
6975	00	FC	14	14	-1
6975	01	FC	14	14	-1
6976	00	FC	14	14	-1
6976	01	FC	14	14	-1
6977	00	FC	14	14	-1
6977	01	FC	14	14	-1
6978	00	FC	14	14	-1
6978	01	FC	14	14	-1
6979	00	FC	14	14	-1
6979	01	FC	14	14	-1
6980	00	FC	14	14	-1
6980	01	FC	14	14	-1
6981	00	FC	14	14	-1
6981	01	FC	14	14	-1
6982	00	FC	14	14	-1
6982	01	FC	14	14	-1
6983	00	FC	14	14	-1
6983	01	FC	14	14	-1
6984	00	FC	14	14	-1
6984	01	FC	14	14	-1
6985	00	FC	14	14	-1
6985	01	FC	14	14	-1
6986	00	FC	14	14	-1
6986	01	FC	14	14	-1
6987	00	FC	14	14	-1
6987	01	FC	14	14	-1
6988	00	FC	14	14	-1
6988	01	FC	14	14	-1
6989	00	FC	14	14	-1
6989	01	FC	14	14	-1
6990	00	FC	14	14	-1
6990	01	FC	14	14	-1
6991	00	FC	14	14	-1
6991	01	FC	14	14	-1
6992	00	FC	14	14	-1
6992	01	FC	14	14	-1
6993	00	FC	14	14	-1
6993	01	FC	14	14	-1
6994	00	FC	14	14	-1
6994	01	FC	14	14	-1
6995	00	FC	14	14	-1
6995	01	FC	14	14	-1
6996	00	FC	14	14	-1
6996	01	FC	14	14	-1
6997	00	FC	14	14	-1
6997	01	FC	14	14	-1
6998	00	FC	14	14	-1
6998	01	FC	14	14	-1
6999	00	FC	14	14	-1
6999	01	FC	14	14	-1
7000	00	FC	14	14	-1
7000	01	FC	14	14	-1
7001	00	FC	14	14	-1
7001	01	FC	14	14	-1
7002	00	FC	14	14	-1
7002	01	FC	14	14	-1
7003	00	FC	14	14	-1
7003	01	FC	14	14	-1
7004	00	FC	14	14	-1
7004	01	FC	14	14	-1
7005	00	FC	14	14	-1
7005	01	FC	14	14	-1
7006	00	FC	14	14	-1
7006	01	FC	14	14	-1
7007	00	FC	14	14	-1
7007	01	FC	14	14	-1
7008	00	FC	14	14	-1
7008	01	FC	14	14	-1
7009	00	FC	14	14	-1
7009	01	FC	14	14	-1
7010	00	FC	14	14	-1
7010	01	FC	14	14	-1
7011	00	FC	14	14	-1
7011	01	FC	14	14	-1
7012	00	FC	14	14	-1
7012	01	FC	14	14	-1
7013	00	FC	14	14	-1
7013	01	FC	14	14	-1
7014	00	FC	14	14	-1
7014	01	FC	14	14	-1
7015	00	FC	14	14	-1
7015	01	FC	14	14	-1
7016	00	FC	14	14	-1
7016	01	FC	14	14	-1
7017	00	FC	14	14	-1
7017	01	FC	14	14	-1
7018	00	FC	14	14	-1
7018	01	FC	14	14	-1
7019	00	FC	14	14	-1
7019	01	FC	14	14	-1
7020	00	FC	14	14	-1
7020	01	FC	14	14	-1
7021	00	FC	14	14	-1
7021	01	FC	14	14	-1
7022	00	FC	14	14	-1
7022	01	FC	14	14	-1
7023	00	FC	14	14	-1
7023	01	FC	14	14	-1
7024	00	FC	14	14	-1
7024	01	FC	14	14	-1
7025	00	FC	14	14	-1
7025	01	FC	14	14	-1
