frame	count	tiles	ctrl	D8_DF	R0	R1	R2	R3	R4	R5
7107	2	10,10	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7108	2	10,10	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7109	3	06,06,07	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7110	3	06,06,07	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7111	3	0B,0A,0A	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7112	3	0A,0B,0A	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7113	6	24,28,25,29,26,27	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7114	6	27,24,28,25,29,26	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7149	3	06,06,07	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7150	3	06,06,07	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7151	3	0B,0A,0A	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7152	3	0A,0B,0A	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7153	3	29,27,28	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7154	3	28,29,27	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7155	8	15,17,18,18,17,15,16,16	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7156	8	16,16,15,17,18,18,17,15	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7157	8	1E,1D,1F,20,20,1F,1D,1E	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7158	8	1F,1D,1E,1E,1D,1F,20,20	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7159	3	28,29,27	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7160	3	27,28,29	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7161	8	16,16,15,17,18,18,17,15	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7162	8	16,15,17,18,18,17,15,16	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7163	8	1F,1D,1E,1E,1D,1F,20,20	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7164	8	20,20,1F,1D,1E,1E,1D,1F	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7165	3	27,28,29	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7166	3	27,28,29	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7167	8	16,16,15,17,18,18,17,15	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7168	8	17,15,16,16,15,17,18,18	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7169	8	20,20,1F,1D,1E,1E,1D,1F	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7170	8	1D,1F,20,20,1F,1D,1E,1E	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7171	3	0A,0B,0A	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7172	3	0B,0A,0A	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7173	3	06,07,06	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
7174	3	06,06,07	88	FC E2 A2 35 B7 BD 08 09	FC/FC	14/14	A2/00	01/01	02/02	14/14
