frame	pc	address	value
6750	FA23	8000	80
6750	FA29	8001	FC
6750	FA2E	8000	81
6750	FA34	8001	E2
6750	FA39	8000	82
6750	FA3F	8001	A2
6750	FA44	8000	83
6750	FA4A	8001	35
6750	FA4F	8000	84
6750	FA55	8001	B7
6750	FA5A	8000	85
6750	FA60	8001	BD
6750	FADD	8000	86
6750	FAE2	8001	18
6750	FAE9	8000	87
6750	FAEE	8001	19
6750	FAF8	8000	86
6750	FAFE	8001	18
6750	FB05	8000	87
6750	FB0B	8001	19
6750	FDA9	8000	86
6750	FDB1	8001	06
6750	FDBA	8000	87
6750	FDC2	8001	07
6750	FC3F	8000	86
6750	FC48	8001	06
6750	FC4F	8000	87
6750	FC58	8001	07
6750	FDA9	8000	86
6750	FDB1	8001	28
6750	FDBA	8000	87
6750	FDC2	8001	29
6750	FDA9	8000	86
6750	FDB1	8001	28
6750	FDBA	8000	87
6750	FDC2	8001	29
6750	FDA9	8000	86
6750	FDB1	8001	18
6750	FDBA	8000	87
6750	FDC2	8001	19
6750	F9B3	8000	80
6750	F9B9	8001	FC
6750	F9BE	8000	81
6750	F9C4	8001	E2
6750	F9C9	8000	82
6750	F9CF	8001	A2
6750	F9D4	8000	83
6750	F9DA	8001	01
6750	F9DF	8000	84
6750	F9E5	8001	02
6750	F9EA	8000	85
6750	F9F0	8001	0A
6750	F8DB	8000	87
6750	F9B3	8000	80
6750	F9B9	8001	FC
6750	F9BE	8000	81
6750	F9C4	8001	0A
6750	F9C9	8000	82
6750	F9CF	8001	FC
6750	F9D4	8000	83
6750	F9DA	8001	FD
6750	F9DF	8000	84
6750	F9E5	8001	02
6750	F9EA	8000	85
6750	F9F0	8001	0A
6750	F8DB	8000	87
6751	FA23	8000	80
6751	FA29	8001	FC
6751	FA2E	8000	81
6751	FA34	8001	E2
6751	FA39	8000	82
6751	FA3F	8001	A2
6751	FA44	8000	83
6751	FA4A	8001	35
6751	FA4F	8000	84
6751	FA55	8001	B7
6751	FA5A	8000	85
6751	FA60	8001	BD
6751	FADD	8000	86
6751	FAE2	8001	18
6751	FAE9	8000	87
6751	FAEE	8001	19
6751	FAF8	8000	86
6751	FAFE	8001	18
6751	FB05	8000	87
6751	FB0B	8001	19
6751	FDA9	8000	86
6751	FDB1	8001	06
6751	FDBA	8000	87
6751	FDC2	8001	07
6751	FDA9	8000	86
6751	FDB1	8001	3C
6751	FDBA	8000	87
6751	FDC2	8001	3D
6751	FC3F	8000	86
6751	FC48	8001	06
6751	FC4F	8000	87
6751	FC58	8001	07
6751	FDA9	8000	86
6751	FDB1	8001	28
6751	FDBA	8000	87
6751	FDC2	8001	29
6751	FDA9	8000	86
6751	FDB1	8001	28
6751	FDBA	8000	87
6751	FDC2	8001	29
6751	FDA9	8000	86
6751	FDB1	8001	18
6751	FDBA	8000	87
6751	FDC2	8001	19
6751	F9B3	8000	80
6751	F9B9	8001	FC
6751	F9BE	8000	81
6751	F9C4	8001	E2
6751	F9C9	8000	82
6751	F9CF	8001	A2
6751	F9D4	8000	83
6751	F9DA	8001	01
6751	F9DF	8000	84
6751	F9E5	8001	02
6751	F9EA	8000	85
6751	F9F0	8001	0A
6751	F8DB	8000	87
6751	F9B3	8000	80
6751	F9B9	8001	FC
6751	F9BE	8000	81
6751	F9C4	8001	0A
6751	F9C9	8000	82
6751	F9CF	8001	FC
6751	F9D4	8000	83
6751	F9DA	8001	FD
6751	F9DF	8000	84
6751	F9E5	8001	02
6751	F9EA	8000	85
6751	F9F0	8001	0A
6751	F8DB	8000	87
6752	FA23	8000	80
6752	FA29	8001	FC
6752	FA2E	8000	81
6752	FA34	8001	E2
6752	FA39	8000	82
6752	FA3F	8001	A2
6752	FA44	8000	83
6752	FA4A	8001	35
6752	FA4F	8000	84
6752	FA55	8001	B7
6752	FA5A	8000	85
6752	FA60	8001	BD
6752	FADD	8000	86
6752	FAE2	8001	18
6752	FAE9	8000	87
6752	FAEE	8001	19
6752	FAF8	8000	86
6752	FAFE	8001	18
6752	FB05	8000	87
6752	FB0B	8001	19
6752	FDA9	8000	86
6752	FDB1	8001	06
6752	FDBA	8000	87
6752	FDC2	8001	07
6752	FDA9	8000	86
6752	FDB1	8001	2A
6752	FDBA	8000	87
6752	FDC2	8001	2B
6752	FDA9	8000	86
6752	FDB1	8001	2A
6752	FDBA	8000	87
6752	FDC2	8001	2B
6752	FC3F	8000	86
6752	FC48	8001	06
6752	FC4F	8000	87
6752	FC58	8001	07
6752	FDA9	8000	86
6752	FDB1	8001	28
6752	FDBA	8000	87
6752	FDC2	8001	29
6752	FDA9	8000	86
6752	FDB1	8001	28
6752	FDBA	8000	87
6752	FDC2	8001	29
6752	FDA9	8000	86
6752	FDB1	8001	18
6752	FDBA	8000	87
6752	FDC2	8001	19
6752	F9B3	8000	80
6752	F9B9	8001	FC
6752	F9BE	8000	81
6752	F9C4	8001	E2
6752	F9C9	8000	82
6752	F9CF	8001	A2
6752	F9D4	8000	83
6752	F9DA	8001	01
6752	F9DF	8000	84
6752	F9E5	8001	02
6752	F9EA	8000	85
6752	F9F0	8001	0A
6752	F8DB	8000	87
6752	F9B3	8000	80
6752	F9B9	8001	FC
6752	F9BE	8000	81
6752	F9C4	8001	0A
6752	F9C9	8000	82
6752	F9CF	8001	FC
6752	F9D4	8000	83
6752	F9DA	8001	FD
6752	F9DF	8000	84
6752	F9E5	8001	02
6752	F9EA	8000	85
6752	F9F0	8001	0A
6752	F8DB	8000	87
6753	FE2D	8000	87
6753	FE30	8001	3C
6753	B058	8000	86
6753	B05B	8001	38
6753	B120	8000	00
6753	B123	8001	00
6753	B120	8000	00
6753	B123	8001	00
6753	FA23	8000	80
6753	FA29	8001	FC
6753	FA2E	8000	81
6753	FA34	8001	E2
6753	FA39	8000	82
6753	FA3F	8001	A2
6753	FA44	8000	83
6753	FA4A	8001	35
6753	FA4F	8000	84
6753	FA55	8001	B7
6753	FA5A	8000	85
6753	FA60	8001	BD
6753	FA83	8000	86
6753	FA88	8001	18
6753	FA8D	8000	87
6753	FA92	8001	19
6753	FA9A	8000	86
6753	FAA0	8001	18
6753	FAA5	8000	87
6753	FAAB	8001	19
6753	FAB6	8000	87
6753	F9B3	8000	80
6753	F9B9	8001	FC
6753	F9BE	8000	81
6753	F9C4	8001	E2
6753	F9C9	8000	82
6753	F9CF	8001	A2
6753	F9D4	8000	83
6753	F9DA	8001	01
6753	F9DF	8000	84
6753	F9E5	8001	02
6753	F9EA	8000	85
6753	F9F0	8001	0A
6753	F8DB	8000	87
6753	F9B3	8000	80
6753	F9B9	8001	FC
6753	F9BE	8000	81
6753	F9C4	8001	0A
6753	F9C9	8000	82
6753	F9CF	8001	FC
6753	F9D4	8000	83
6753	F9DA	8001	FD
6753	F9DF	8000	84
6753	F9E5	8001	02
6753	F9EA	8000	85
6753	F9F0	8001	0A
6753	F8DB	8000	87
6754	FE2D	8000	87
6754	FE30	8001	3C
6754	B058	8000	86
6754	B05B	8001	38
6754	B120	8000	00
6754	B123	8001	00
6754	B120	8000	00
6754	B123	8001	00
6754	FA23	8000	80
6754	FA29	8001	FC
6754	FA2E	8000	81
6754	FA34	8001	E2
6754	FA39	8000	82
6754	FA3F	8001	A2
6754	FA44	8000	83
6754	FA4A	8001	35
6754	FA4F	8000	84
6754	FA55	8001	B7
6754	FA5A	8000	85
6754	FA60	8001	BD
6754	FA83	8000	86
6754	FA88	8001	18
6754	FA8D	8000	87
6754	FA92	8001	19
6754	BF0A	8000	86
6754	C8E1	8001	00
6754	C8E6	8000	87
6754	C8EB	8001	01
6754	C900	8000	86
6754	C905	8001	18
6754	C90A	8000	87
6754	C90F	8001	19
6754	BF0A	8000	86
6754	C8E1	8001	00
6754	C8E6	8000	87
6754	C8EB	8001	01
6754	C900	8000	86
6754	C905	8001	18
6754	C90A	8000	87
6754	C90F	8001	19
6754	BF0A	8000	86
6754	C8E1	8001	00
6754	C8E6	8000	87
6754	C8EB	8001	01
6754	C900	8000	86
6754	C905	8001	18
6754	C90A	8000	87
6754	C90F	8001	19
6754	FA9A	8000	86
6754	FAA0	8001	18
6754	FAA5	8000	87
6754	FAAB	8001	19
6754	FAB6	8000	87
6754	F9B3	8000	80
6754	F9B9	8001	FC
6754	F9BE	8000	81
6754	F9C4	8001	E2
6754	F9C9	8000	82
6754	F9CF	8001	A2
6754	F9D4	8000	83
6754	F9DA	8001	01
6754	F9DF	8000	84
6754	F9E5	8001	02
6754	F9EA	8000	85
6754	F9F0	8001	0A
6754	F8DB	8000	87
6754	F9B3	8000	80
6754	F9B9	8001	FC
6754	F9BE	8000	81
6754	F9C4	8001	0A
6754	F9C9	8000	82
6754	F9CF	8001	FC
6754	F9D4	8000	83
6754	F9DA	8001	FD
6754	F9DF	8000	84
6754	F9E5	8001	02
6754	F9EA	8000	85
6754	F9F0	8001	0A
6754	F8DB	8000	87
6755	FA23	8000	80
6755	FA29	8001	FC
6755	FA2E	8000	81
6755	FA34	8001	E2
6755	FA39	8000	82
6755	FA3F	8001	A2
6755	FA44	8000	83
6755	FA4A	8001	35
6755	FA4F	8000	84
6755	FA55	8001	B7
6755	FA5A	8000	85
6755	FA60	8001	BD
6755	FADD	8000	86
6755	FAE2	8001	18
6755	FAE9	8000	87
6755	FAEE	8001	19
6755	FAF8	8000	86
6755	FAFE	8001	18
6755	FB05	8000	87
6755	FB0B	8001	19
6755	FDA9	8000	86
6755	FDB1	8001	06
6755	FDBA	8000	87
6755	FDC2	8001	07
6755	FDA9	8000	86
6755	FDB1	8001	2A
6755	FDBA	8000	87
6755	FDC2	8001	2B
6755	FDA9	8000	86
6755	FDB1	8001	2A
6755	FDBA	8000	87
6755	FDC2	8001	2B
6755	FC3F	8000	86
6755	FC48	8001	06
6755	FC4F	8000	87
6755	FC58	8001	07
6755	FDA9	8000	86
6755	FDB1	8001	28
6755	FDBA	8000	87
6755	FDC2	8001	29
6755	FDA9	8000	86
6755	FDB1	8001	28
6755	FDBA	8000	87
6755	FDC2	8001	29
6755	FDA9	8000	86
6755	FDB1	8001	18
6755	FDBA	8000	87
6755	FDC2	8001	19
6755	F9B3	8000	80
6755	F9B9	8001	FC
6755	F9BE	8000	81
6755	F9C4	8001	E2
6755	F9C9	8000	82
6755	F9CF	8001	A2
6755	F9D4	8000	83
6755	F9DA	8001	01
6755	F9DF	8000	84
6755	F9E5	8001	02
6755	F9EA	8000	85
6755	F9F0	8001	0A
6755	F8DB	8000	87
6755	F9B3	8000	80
6755	F9B9	8001	FC
6755	F9BE	8000	81
6755	F9C4	8001	0A
6755	F9C9	8000	82
6755	F9CF	8001	FC
6755	F9D4	8000	83
6755	F9DA	8001	FD
6755	F9DF	8000	84
6755	F9E5	8001	02
6755	F9EA	8000	85
6755	F9F0	8001	0A
6755	F8DB	8000	87
6756	FA23	8000	80
6756	FA29	8001	FC
6756	FA2E	8000	81
6756	FA34	8001	E2
6756	FA39	8000	82
6756	FA3F	8001	A2
6756	FA44	8000	83
6756	FA4A	8001	35
6756	FA4F	8000	84
6756	FA55	8001	B7
6756	FA5A	8000	85
6756	FA60	8001	BD
6756	FADD	8000	86
6756	FAE2	8001	18
6756	FAE9	8000	87
6756	FAEE	8001	19
6756	FAF8	8000	86
6756	FAFE	8001	18
6756	FB05	8000	87
6756	FB0B	8001	19
6756	FDA9	8000	86
6756	FDB1	8001	06
6756	FDBA	8000	87
6756	FDC2	8001	07
6756	FC3F	8000	86
6756	FC48	8001	06
6756	FC4F	8000	87
6756	FC58	8001	07
6756	FDA9	8000	86
6756	FDB1	8001	28
6756	FDBA	8000	87
6756	FDC2	8001	29
6756	FDA9	8000	86
6756	FDB1	8001	28
6756	FDBA	8000	87
6756	FDC2	8001	29
6756	FDA9	8000	86
6756	FDB1	8001	18
6756	FDBA	8000	87
6756	FDC2	8001	19
6756	F9B3	8000	80
6756	F9B9	8001	FC
6756	F9BE	8000	81
6756	F9C4	8001	E2
6756	F9C9	8000	82
6756	F9CF	8001	A2
6756	F9D4	8000	83
6756	F9DA	8001	01
6756	F9DF	8000	84
6756	F9E5	8001	02
6756	F9EA	8000	85
6756	F9F0	8001	0A
