frame	index	y	tile	attr	x
7000	00	B7	80	01	10
7000	01	B7	81	01	18
7000	02	B7	82	01	20
7000	03	B7	83	01	28
7000	04	BF	84	01	10
7000	05	BF	85	01	18
7000	06	BF	86	01	20
7000	07	BF	87	01	28
7000	08	C7	88	01	10
7000	09	C7	89	01	18
7000	0A	C7	8A	01	20
7000	0B	C7	8B	01	28
7000	0C	CF	8C	01	10
7000	0D	CF	8D	01	18
7000	0E	CF	8E	01	20
7000	0F	CF	8F	01	28
7001	00	B7	80	01	10
7001	01	B7	81	01	18
7001	02	B7	82	01	20
7001	03	B7	83	01	28
7001	04	BF	84	01	10
7001	05	BF	85	01	18
7001	06	BF	86	01	20
7001	07	BF	87	01	28
7001	08	C7	88	01	10
7001	09	C7	89	01	18
7001	0A	C7	8A	01	20
7001	0B	C7	8B	01	28
7001	0C	CF	8C	01	10
7001	0D	CF	8D	01	18
7001	0E	CF	8E	01	20
7001	0F	CF	8F	01	28
7002	00	B7	80	01	10
7002	01	B7	81	01	18
7002	02	B7	82	01	20
7002	03	B7	83	01	28
7002	04	BF	84	01	10
7002	05	BF	85	01	18
7002	06	BF	86	01	20
7002	07	BF	87	01	28
7002	08	C7	88	01	10
7002	09	C7	89	01	18
7002	0A	C7	8A	01	20
7002	0B	C7	8B	01	28
7002	0C	CF	8C	01	10
7002	0D	CF	8D	01	18
7002	0E	CF	8E	01	20
7002	0F	CF	8F	01	28
7003	00	B7	80	01	10
7003	01	B7	81	01	18
7003	02	B7	82	01	20
7003	03	B7	83	01	28
7003	04	BF	84	01	10
7003	05	BF	85	01	18
7003	06	BF	86	01	20
7003	07	BF	87	01	28
7003	08	C7	88	01	10
7003	09	C7	89	01	18
7003	0A	C7	8A	01	20
7003	0B	C7	8B	01	28
7003	0C	CF	8C	01	10
7003	0D	CF	8D	01	18
7003	0E	CF	8E	01	20
7003	0F	CF	8F	01	28
7004	00	B7	80	01	10
7004	01	B7	81	01	18
7004	02	B7	82	01	20
7004	03	B7	83	01	28
7004	04	BF	84	01	10
7004	05	BF	85	01	18
7004	06	BF	86	01	20
7004	07	BF	87	01	28
7004	08	C7	88	01	10
7004	09	C7	89	01	18
7004	0A	C7	8A	01	20
7004	0B	C7	8B	01	28
7004	0C	CF	8C	01	10
7004	0D	CF	8D	01	18
7004	0E	CF	8E	01	20
7004	0F	CF	8F	01	28
7005	00	B7	80	01	10
7005	01	B7	81	01	18
7005	02	B7	82	01	20
7005	03	B7	83	01	28
7005	04	BF	84	01	10
7005	05	BF	85	01	18
7005	06	BF	86	01	20
7005	07	BF	87	01	28
7005	08	C7	88	01	10
7005	09	C7	89	01	18
7005	0A	C7	8A	01	20
7005	0B	C7	8B	01	28
7005	0C	CF	8C	01	10
7005	0D	CF	8D	01	18
7005	0E	CF	8E	01	20
7005	0F	CF	8F	01	28
7006	00	B7	80	01	10
7006	01	B7	81	01	18
7006	02	B7	82	01	20
