frame	crossing	top_r1	split_r1
3800	16	E2	FF
3801	16	E2	FF
3802	16	E2	FF
3803	16	E2	FF
3804	16	E2	FF
3805	16	E2	FF
3806	16	E2	FF
3807	16	E2	FF
3808	16	E2	FF
3809	16	E2	FF
3810	16	E2	FF
3811	16	E2	FF
3812	16	E2	FF
3813	16	E2	FF
3814	16	E2	FF
3815	16	E2	FF
3816	16	E2	FF
3817	16	E2	FF
3818	16	E2	FF
3819	16	E2	FF
3820	16	E2	FF
3821	16	E2	FF
3822	16	E2	FF
3823	16	E2	FF
3824	16	E2	FF
3825	16	E2	FF
3826	16	E2	FF
3827	16	E2	FF
3828	16	E2	FF
3829	16	E2	FF
3830	16	E2	FF
3831	16	E2	FF
3832	16	E2	FF
3833	16	E2	FF
3834	16	E2	FF
3835	16	E2	FF
3836	16	E2	FF
3837	16	E2	FF
3838	16	E2	FF
3839	16	E2	FF
3840	16	E2	FF
3841	16	E2	FF
3842	16	E2	FF
3843	16	E2	FF
3844	16	E2	FF
3845	16	E2	FF
3846	16	E2	FF
3847	16	E2	FF
3848	16	E2	FF
3849	16	E2	FF
3850	16	E2	FF
3851	16	E2	FF
3852	16	E2	FF
3853	16	E2	FF
3854	16	E2	FF
3855	16	E2	FF
3856	16	E2	FF
3857	16	E2	FF
3858	16	E2	FF
3859	16	E2	FF
3860	16	E2	FF
3861	16	E2	FF
3862	16	E2	FF
3863	16	E2	FF
3864	16	E2	FF
3865	16	E2	FF
3866	16	E2	FF
3867	16	E2	FF
3868	16	E2	FF
3869	16	E2	FF
3870	16	E2	FF
3871	16	E2	FF
3872	16	E2	FF
3873	16	E2	FF
3874	16	E2	FF
3875	16	E2	FF
3876	16	E2	FF
3877	16	E2	FF
3878	16	E2	FF
3879	16	E2	FF
3880	16	E2	FF
3881	16	E2	FF
3882	16	E2	FF
3883	16	E2	FF
3884	16	E2	FF
3885	16	E2	FF
3886	16	E2	FF
3887	16	E2	FF
3888	16	E2	FF
3889	16	E2	FF
3890	16	E2	FF
3891	16	E2	FF
3892	16	E2	FF
3893	16	E2	FF
3894	16	E2	FF
3895	16	E2	FF
3896	16	E2	FF
3897	16	E2	FF
3898	16	E2	FF
3899	16	E2	FF
3900	16	E2	FF
3901	16	E2	FF
3902	16	E2	FF
3903	16	E2	FF
3904	16	E2	FF
3905	16	E2	FF
3906	16	E2	FF
3907	16	E2	FF
3908	16	E2	FF
3909	16	E2	FF
3910	16	E2	FF
3911	16	E2	FF
3912	16	E2	FF
3913	16	E2	FF
3914	16	E2	FF
3915	16	E2	FF
3916	16	E2	FF
3917	16	E2	FF
3918	16	E2	FF
3919	16	E2	FF
3920	16	E2	FF
3921	16	E2	FF
3922	16	E2	FF
3923	16	E2	FF
3924	16	E2	FF
3925	16	E2	FF
3926	16	E2	FF
3927	16	E2	FF
3928	16	E2	FF
3929	16	E2	FF
3930	16	E2	FF
3931	16	E2	FF
3932	16	E2	FF
3933	16	E2	FF
3934	16	E2	FF
3935	16	E2	FF
3936	16	E2	FF
3937	16	E2	FF
3938	16	E2	FF
3939	16	E2	FF
3940	16	E2	FF
3941	16	E2	FF
3942	16	E2	FF
3943	16	E2	FF
3944	16	E2	FF
3945	16	E2	FF
3946	16	E2	FF
3947	16	E2	FF
3948	16	E2	FF
3949	16	E2	FF
3950	16	E2	FF
3951	16	E2	FF
3952	16	E2	FF
3953	16	E2	FF
3954	16	E2	FF
3955	16	E2	FF
3956	16	E2	FF
3957	16	E2	FF
3958	16	E2	FF
3959	16	E2	FF
3960	16	E2	FF
3961	16	E2	FF
3962	16	E2	FF
3963	16	E2	FF
3964	16	E2	FF
3965	16	E2	FF
3966	16	E2	FF
3967	16	E2	FF
3968	16	E2	FF
3969	16	E2	FF
3970	16	E2	FF
3971	16	E2	FF
3972	16	E2	FF
3973	16	E2	FF
3974	16	E2	FF
3975	16	E2	FF
3976	16	E2	FF
3977	16	E2	FF
3978	16	E2	FF
3979	16	E2	FF
3980	16	E2	FF
3981	16	E2	FF
3982	16	E2	FF
3983	16	E2	FF
3984	16	E2	FF
3985	16	E2	FF
3986	16	E2	FF
3987	16	E2	FF
3988	16	E2	FF
3989	16	E2	FF
3990	16	E2	FF
3991	16	E2	FF
3992	16	E2	FF
3993	16	E2	FF
3994	16	E2	FF
3995	16	E2	FF
3996	16	E2	FF
3997	16	E2	FF
3998	16	E2	FF
3999	16	E2	FF
4000	16	E2	FF
4001	16	E2	FF
4002	16	E2	FF
4003	16	E2	FF
4004	16	E2	FF
4005	16	E2	FF
4006	16	E2	FF
4007	16	E2	FF
4008	16	E2	FF
4009	16	E2	FF
4010	16	E2	FF
4011	16	E2	FF
4012	16	E2	FF
4013	16	E2	FF
4014	16	E2	FF
4015	16	E2	FF
4016	16	E2	FF
4017	16	E2	FF
4018	16	E2	FF
4019	16	E2	FF
4020	16	E2	FF
4021	16	E2	FF
4022	16	E2	FF
4023	16	E2	FF
4024	16	E2	FF
4025	16	E2	FF
4026	16	E2	FF
4027	16	E2	FF
4028	16	E2	FF
4029	16	E2	FF
4030	16	E2	FF
4031	16	E2	FF
4032	16	E2	FF
4033	16	E2	FF
4034	16	E2	FF
4035	16	E2	FF
4036	16	E2	FF
4037	16	E2	FF
4038	16	E2	FF
4039	16	E2	FF
4040	16	E2	FF
4041	16	E2	FF
4042	16	E2	FF
4043	16	E2	FF
4044	16	E2	FF
4045	16	E2	FF
4046	16	E2	FF
4047	16	E2	FF
4048	16	E2	FF
4049	16	E2	FF
4050	16	E2	FF
4051	16	E2	FF
4052	16	E2	FF
4053	16	E2	FF
4054	16	E2	FF
4055	16	E2	FF
4056	16	E2	FF
4057	16	E2	FF
4058	16	E2	FF
4059	16	E2	FF
4060	16	E2	FF
4061	16	E2	FF
4062	16	E2	FF
4063	16	E2	FF
4064	16	E2	FF
4065	16	E2	FF
4066	16	E2	FF
4067	16	E2	FF
4068	16	E2	FF
4069	16	E2	FF
4070	16	E2	FF
4071	16	E2	FF
4072	16	E2	FF
4073	16	E2	FF
4074	16	E2	FF
4075	16	E2	FF
4076	16	E2	FF
4077	16	E2	FF
4078	16	E2	FF
4079	16	E2	FF
4080	16	E2	FF
4081	16	E2	FF
4082	16	E2	FF
4083	16	E2	FF
4084	16	E2	FF
4085	16	E2	FF
4086	16	E2	FF
4087	16	E2	FF
4088	16	E2	FF
4089	16	E2	FF
4090	16	E2	FF
4091	16	E2	FF
4092	16	E2	FF
4093	16	E2	FF
4094	16	E2	FF
4095	16	E2	FF
4096	16	E2	FF
4097	16	E2	FF
4098	16	E2	FF
4099	16	E2	FF
4100	16	E2	FF
4101	16	E2	FF
4102	16	E2	FF
4103	16	E2	FF
4104	16	E2	FF
4105	16	E2	FF
4106	16	E2	FF
4107	16	E2	FF
4108	16	E2	FF
4109	16	E2	FF
4110	16	E2	FF
4111	16	E2	FF
4112	16	E2	FF
4113	16	E2	FF
4114	16	E2	FF
4115	16	E2	FF
4116	16	E2	FF
4117	16	E2	FF
4118	16	E2	FF
4119	16	E2	FF
4120	16	E2	FF
4121	16	E2	FF
4122	16	E2	FF
4123	16	E2	FF
4124	16	E2	FF
4125	16	E2	FF
4126	16	E2	FF
4127	16	E2	FF
4128	16	E2	FF
4129	16	E2	FF
4130	16	E2	FF
4131	16	E2	FF
4132	16	E2	FF
4133	16	E2	FF
4134	16	E2	FF
4135	16	E2	FF
4136	16	E2	FF
