frame	crossing	top_r1	split_r1
9000	0	E2	FF
9001	0	E2	FF
9002	0	E2	FF
9003	0	E2	FF
9004	0	E2	FF
9005	0	E2	FF
9006	0	E2	FF
9007	0	E2	FF
9008	0	E2	FF
9009	0	E2	FF
9010	0	E2	FF
9011	0	E2	FF
9012	0	E2	FF
9013	0	E2	FF
9014	0	E2	FF
9015	0	E2	FF
9016	0	E2	FF
9017	0	E2	FF
9018	0	E2	FF
9019	0	E2	FF
9020	0	E2	FF
9021	0	E2	FF
9022	0	E2	FF
9023	0	E2	FF
9024	0	E2	FF
9025	0	E2	FF
9026	0	E2	FF
9027	0	E2	FF
9028	10	E2	FF
9029	10	E2	FF
9030	10	E2	FF
9031	10	E2	FF
9032	10	E2	FF
9033	10	E2	FF
9034	10	E2	FF
9035	10	E2	FF
9036	10	E2	FF
9037	10	E2	FF
9038	10	E2	FF
9039	10	E2	FF
9040	10	E2	FF
9041	10	E2	FF
9042	10	E2	FF
9043	10	E2	FF
9044	10	E2	FF
9045	10	E2	FF
9046	10	E2	FF
9047	10	E2	FF
9048	10	E2	FF
9049	10	E2	FF
9050	10	E2	FF
9051	10	E2	FF
9052	10	E2	FF
9053	10	E2	FF
9054	10	E2	FF
9055	10	E2	FF
9056	10	E2	FF
9057	10	E2	FF
9058	10	E2	FF
9059	10	E2	FF
9060	10	E2	FF
9061	10	E2	FF
9062	10	E2	FF
9063	10	E2	FF
9064	10	E2	FF
9065	10	E2	FF
9066	10	E2	FF
9067	10	E2	FF
9068	10	E2	FF
9069	10	E2	FF
9070	10	E2	FF
9071	10	E2	FF
9072	10	E2	FF
9073	10	E2	FF
9074	10	E2	FF
9075	10	E2	FF
9076	10	E2	FF
9077	10	E2	FF
9078	10	E2	FF
9079	10	E2	FF
9080	10	E2	FF
9081	10	E2	FF
9082	10	E2	FF
9083	10	E2	FF
9084	10	E2	FF
9085	10	E2	FF
9086	10	E2	FF
9087	10	E2	FF
9088	10	E2	FF
9089	10	E2	FF
9090	10	E2	FF
9091	10	E2	FF
9092	10	E2	FF
9093	10	E2	FF
9094	10	E2	FF
9095	10	E2	FF
9096	10	E2	FF
9097	10	E2	FF
9098	10	E2	FF
9099	10	E2	FF
9100	10	E2	FF
9101	10	E2	FF
9102	10	E2	FF
9103	10	E2	FF
9104	10	E2	FF
9105	10	E2	FF
9106	10	E2	FF
9107	10	E2	FF
9108	10	E2	FF
9109	10	E2	FF
9110	10	E2	FF
9111	10	E2	FF
9112	10	E2	FF
9113	10	E2	FF
9114	10	E2	FF
9115	10	E2	FF
9116	10	E2	FF
9117	10	E2	FF
9118	10	E2	FF
9119	10	E2	FF
9120	10	E2	FF
9121	10	E2	FF
9122	10	E2	FF
9123	10	E2	FF
9124	10	E2	FF
9125	10	E2	FF
9126	10	E2	FF
9127	10	E2	FF
9128	10	E2	FF
9129	16	E2	FF
9130	16	E2	FF
9131	16	E2	FF
9132	16	E2	FF
9133	16	E2	FF
9134	16	E2	FF
9135	16	E2	FF
9136	16	E2	FF
9137	16	E2	FF
9138	16	E2	FF
9139	16	E2	FF
9140	16	E2	FF
9141	16	E2	FF
9142	16	E2	FF
9143	16	E2	FF
9144	16	E2	FF
9145	16	E2	FF
9146	16	E2	FF
9147	16	E2	FF
9148	16	E2	FF
9149	16	E2	FF
9150	16	E2	FF
9151	16	E2	FF
9152	16	E2	FF
9153	16	E2	FF
9154	16	E2	FF
9155	16	E2	FF
9156	16	E2	FF
9157	16	E2	FF
9158	16	E2	FF
9159	16	E2	FF
9160	16	E2	FF
9161	16	E2	FF
