frame	crossing	top_r1	split_r1
2150	0	FC	FF
2151	0	FC	FF
2152	0	FC	FF
2153	0	FC	FF
2154	0	FC	FF
2155	0	FC	FF
2156	0	FC	FF
2157	0	FC	FF
2158	0	FC	FF
2159	0	FC	FF
2160	0	FC	FF
2161	0	FC	FF
2162	0	FC	FF
2163	0	FC	FF
2164	0	FC	FF
2165	16	FC	FF
2166	16	FC	FF
2167	16	FC	FF
2168	16	FC	FF
2169	16	FC	FF
2170	16	FC	FF
2171	16	FC	FF
2172	16	FC	FF
2173	16	FC	FF
2174	16	FC	FF
2175	16	FC	FF
2176	16	FC	FF
2177	16	FC	FF
2178	16	FC	FF
2179	16	FC	FF
2180	16	FC	FF
2181	16	FC	FF
2182	16	FC	FF
2183	16	FC	FF
2184	16	FC	FF
2185	16	FC	FF
2186	16	FC	FF
2187	16	FC	FF
2188	16	FC	FF
2189	16	FC	FF
2190	16	FC	FF
2191	16	FC	FF
2192	16	FC	FF
2193	16	FC	FF
2194	16	FC	FF
2195	16	FC	FF
2196	16	FC	FF
2197	16	FC	FF
2198	16	FC	FF
2199	16	FC	FF
2200	16	FC	FF
2201	16	FC	FF
2202	16	FC	FF
2203	16	FC	FF
2204	16	FC	FF
2205	16	FC	FF
2206	16	FC	FF
2207	16	FC	FF
2208	16	FC	FF
2209	16	FC	FF
2210	16	FC	FF
2211	16	FC	FF
2212	16	FC	FF
2213	16	FC	FF
2214	16	FC	FF
2215	16	FC	FF
2216	16	FC	FF
2217	16	FC	FF
2218	16	FC	FF
2219	16	FC	FF
2220	16	FC	FF
2221	16	FC	FF
2222	16	FC	FF
2223	16	FC	FF
2224	16	FC	FF
2225	16	FC	FF
2226	16	FC	FF
2227	16	FC	FF
2228	16	FC	FF
2229	16	FC	FF
2230	16	FC	FF
2231	16	FC	FF
2232	16	FC	FF
2233	16	FC	FF
2234	16	FC	FF
2235	16	FC	FF
2236	16	FC	FF
2237	16	FC	FF
2238	16	FC	FF
2239	16	FC	FF
2240	16	FC	FF
2241	16	FC	FF
2242	16	FC	FF
2243	16	FC	FF
2244	16	FC	FF
2245	16	FC	FF
2246	16	FC	FF
2247	16	FC	FF
2248	16	FC	FF
2249	16	FC	FF
2250	16	FC	FF
2251	16	FC	FF
2252	16	FC	FF
2253	16	FC	FF
2254	16	FC	FF
2255	16	FC	FF
2256	16	FC	FF
2257	16	FC	FF
2258	16	FC	FF
2259	16	FC	FF
2260	16	FC	FF
2261	16	FC	FF
2262	16	FC	FF
2263	16	FC	FF
2264	16	FC	FF
2265	16	FC	FF
2266	16	FC	FF
2267	16	FC	FF
2268	16	FC	FF
2269	16	FC	FF
2270	16	FC	FF
2271	16	FC	FF
2272	16	FC	FF
2273	16	FC	FF
2274	16	FC	FF
2275	16	FC	FF
2276	16	FC	FF
2277	16	FC	FF
2278	16	FC	FF
2279	16	FC	FF
2280	16	FC	FF
2281	16	FC	FF
2282	16	FC	FF
2283	16	FC	FF
2284	16	FC	FF
2285	16	FC	FF
2286	16	FC	FF
2287	16	FC	FF
2288	16	FC	FF
2289	16	FC	FF
2290	16	FC	FF
2291	16	FC	FF
2292	16	FC	FF
2293	16	FC	FF
2294	16	FC	FF
2295	16	FC	FF
2296	16	FC	FF
2297	16	FC	FF
2298	16	FC	FF
2299	16	FC	FF
2300	16	FC	FF
2301	16	FC	FF
2302	16	FC	FF
2303	16	FC	FF
2304	16	FC	FF
2305	16	FC	FF
2306	16	FC	FF
2307	16	FC	FF
2308	16	FC	FF
2309	16	FC	FF
2310	16	FC	FF
2311	16	FC	FF
2312	16	FC	FF
2313	16	FC	FF
2314	16	FC	FF
2315	16	FC	FF
2316	16	FC	FF
2317	16	FC	FF
2318	16	FC	FF
2319	16	FC	FF
2320	16	FC	FF
2321	16	FC	FF
2322	16	FC	FF
2323	16	FC	FF
2324	16	FC	FF
2325	16	FC	FF
2326	16	FC	FF
2327	16	FC	FF
2328	16	FC	FF
2329	16	FC	FF
2330	16	FC	FF
2331	16	FC	FF
2332	16	FC	FF
2333	16	FC	FF
2334	16	FC	FF
2335	16	FC	FF
2336	16	FC	FF
2337	16	FC	FF
2338	16	FC	FF
2339	16	FC	FF
2340	16	FC	FF
2341	16	FC	FF
2342	16	FC	FF
2343	16	FC	FF
2344	16	FC	FF
2345	16	FC	FF
2346	16	FC	FF
2347	16	FC	FF
2348	16	FC	FF
2349	16	FC	FF
2350	16	FC	FF
2351	16	FC	FF
2352	16	FC	FF
2353	16	FC	FF
2354	16	FC	FF
2355	16	FC	FF
2356	16	FC	FF
2357	16	FC	FF
2358	16	FC	FF
2359	16	FC	FF
2360	16	FC	FF
2361	16	FC	FF
2362	16	FC	FF
2363	16	FC	FF
2364	16	FC	FF
2365	16	FC	FF
2366	16	FC	FF
2367	16	FC	FF
2368	16	FC	FF
2369	16	FC	FF
2370	16	FC	FF
2371	16	FC	FF
2372	16	FC	FF
2373	16	FC	FF
2374	16	FC	FF
2375	16	FC	FF
2376	16	FC	FF
2377	16	FC	FF
2378	16	FC	FF
2379	16	FC	FF
2380	16	FC	FF
2381	16	FC	FF
2382	16	FC	FF
2383	16	FC	FF
2384	16	FC	FF
2385	16	FC	FF
2386	16	FC	FF
2387	16	FC	FF
2388	16	FC	FF
2389	16	FC	FF
2390	16	FC	FF
2391	16	FC	FF
2392	16	FC	FF
2393	16	FC	FF
2394	16	FC	FF
2395	16	FC	FF
2396	16	FC	FF
2397	16	FC	FF
2398	16	FC	FF
2399	16	FC	FF
2400	16	FC	FF
2401	16	FC	FF
2402	16	FC	FF
2403	16	FC	FF
2404	16	FC	FF
2405	16	FC	FF
2406	16	FC	FF
2407	16	FC	FF
2408	16	FC	FF
2409	16	FC	FF
2410	16	FC	FF
2411	16	FC	FF
2412	16	FC	FF
2413	16	FC	FF
2414	16	FC	FF
2415	16	FC	FF
2416	16	FC	FF
2417	16	FC	FF
2418	16	FC	FF
2419	16	FC	FF
2420	16	FC	FF
2421	16	FC	FF
2422	16	FC	FF
2423	16	FC	FF
2424	16	FC	FF
2425	16	FC	FF
2426	16	FC	FF
2427	16	FC	FF
2428	16	FC	FF
2429	16	FC	FF
2430	16	FC	FF
2431	16	FC	FF
2432	16	FC	FF
2433	16	FC	FF
2434	16	FC	FF
2435	16	FC	FF
2436	16	FC	FF
2437	16	FC	FF
2438	16	FC	FF
2439	16	FC	FF
2440	16	FC	FF
2441	16	FC	FF
2442	16	FC	FF
2443	16	FC	FF
2444	16	FC	FF
2445	16	FC	FF
2446	16	FC	FF
2447	16	FC	FF
2448	16	FC	FF
2449	16	FC	FF
2450	16	FC	FF
2451	16	FC	FF
2452	16	FC	FF
2453	16	FC	FF
2454	16	FC	FF
2455	16	FC	FF
2456	16	FC	FF
2457	16	FC	FF
2458	16	FC	FF
2459	16	FC	FF
2460	16	FC	FF
2461	16	FC	FF
2462	16	FC	FF
2463	16	FC	FF
2464	16	FC	FF
2465	16	FC	FF
2466	16	FC	FF
2467	16	FC	FF
2468	16	FC	FF
2469	16	FC	FF
2470	16	FC	FF
2471	16	FC	FF
2472	16	FC	FF
2473	16	FC	FF
2474	16	FC	FF
2475	16	FC	FF
2476	16	FC	FF
2477	16	FC	FF
2478	16	FC	FF
2479	16	FC	FF
2480	16	FC	FF
2481	16	FC	FF
2482	16	FC	FF
2483	16	FC	FF
2484	16	FC	FF
2485	16	FC	FF
2486	16	FC	FF
2487	16	FC	FF
2488	16	FC	FF
2489	16	FC	FF
2490	16	FC	FF
2491	16	FC	FF
2492	16	FC	FF
2493	16	FC	FF
2494	16	FC	FF
2495	16	FC	FF
2496	16	FC	FF
2497	16	FC	FF
2498	16	FC	FF
2499	16	FC	FF
2500	16	FC	FF
2501	16	FC	FF
2502	16	FC	FF
2503	16	FC	FF
2504	16	FC	FF
2505	16	FC	FF
2506	16	FC	FF
2507	16	FC	FF
2508	16	FC	FF
2509	16	FC	FF
2510	16	FC	FF
2511	16	FC	FF
2512	16	FC	FF
2513	16	FC	FF
2514	16	FC	FF
2515	16	FC	FF
2516	16	FC	FF
2517	16	FC	FF
2518	16	FC	FF
2519	16	FC	FF
2520	16	FC	FF
2521	16	FC	FF
2522	16	FC	FF
2523	16	FC	FF
2524	16	FC	FF
2525	16	FC	FF
2526	16	FC	FF
2527	16	FC	FF
2528	16	FC	FF
2529	16	FC	FF
2530	16	FC	FF
2531	16	FC	FF
2532	16	FC	FF
2533	16	FC	FF
2534	16	FC	FF
2535	16	FC	FF
2536	16	FC	FF
2537	16	FC	FF
2538	16	FC	FF
2539	16	FC	FF
2540	16	FC	FF
2541	16	FC	FF
2542	16	FC	FF
2543	16	FC	FF
2544	16	FC	FF
2545	16	FC	FF
2546	16	FC	FF
2547	16	FC	FF
2548	16	FC	FF
2549	16	FC	FF
2550	16	FC	FF
2551	16	FC	FF
2552	16	FC	FF
2553	16	FC	FF
2554	16	FC	FF
2555	16	FC	FF
2556	16	FC	FF
2557	16	FC	FF
2558	16	FC	FF
2559	16	FC	FF
2560	16	FC	FF
2561	16	FC	FF
2562	16	FC	FF
2563	16	FC	FF
2564	16	FC	FF
2565	16	FC	FF
2566	16	FC	FF
2567	16	FC	FF
2568	16	FC	FF
2569	16	FC	FF
2570	16	FC	FF
2571	16	FC	FF
2572	16	FC	FF
2573	16	FC	FF
2574	16	FC	FF
2575	16	FC	FF
2576	16	FC	FF
2577	16	FC	FF
2578	16	FC	FF
2579	16	FC	FF
2580	16	FC	FF
2581	16	FC	FF
2582	16	FC	FF
2583	16	FC	FF
2584	16	FC	FF
2585	16	FC	FF
2586	16	FC	FF
2587	16	FC	FF
2588	16	FC	FF
2589	16	FC	FF
2590	16	FC	FF
2591	16	FC	FF
2592	16	FC	FF
2593	16	FC	FF
2594	16	FC	FF
2595	16	FC	FF
2596	16	FC	FF
2597	16	FC	FF
2598	16	FC	FF
2599	16	FC	FF
2600	16	FC	FF
2601	16	FC	FF
2602	16	FC	FF
2603	16	FC	FF
2604	16	FC	FF
2605	16	FC	FF
2606	16	FC	FF
2607	16	FC	FF
2608	16	FC	FF
2609	16	FC	FF
2610	16	FC	FF
2611	16	FC	FF
2612	16	FC	FF
2613	16	FC	FF
2614	16	FC	FF
2615	16	FC	FF
2616	16	FC	FF
2617	16	FC	FF
2618	16	FC	FF
2619	16	FC	FF
2620	16	FC	FF
2621	16	FC	FF
2622	16	FC	FF
2623	16	FC	FF
2624	16	FC	FF
2625	16	FC	FF
2626	16	FC	FF
2627	16	FC	FF
2628	16	FC	FF
2629	16	FC	FF
2630	16	FC	FF
2631	16	FC	FF
2632	16	FC	FF
2633	16	FC	FF
2634	16	FC	FF
2635	16	FC	FF
2636	16	FC	FF
2637	16	FC	FF
2638	16	FC	FF
2639	16	FC	FF
2640	16	FC	FF
2641	16	FC	FF
2642	16	FC	FF
2643	16	FC	FF
2644	16	FC	FF
2645	16	FC	FF
2646	16	FC	FF
2647	16	FC	FF
2648	16	FC	FF
2649	16	FC	FF
2650	16	FC	FF
2651	16	FC	FF
2652	16	FC	FF
2653	16	FC	FF
2654	16	FC	FF
2655	16	FC	FF
2656	16	FC	FF
2657	16	FC	FF
2658	16	FC	FF
2659	16	FC	FF
2660	16	FC	FF
2661	16	FC	FF
2662	16	FC	FF
2663	16	FC	FF
2664	16	FC	FF
2665	16	FC	FF
2666	16	FC	FF
2667	16	FC	FF
2668	16	FC	FF
2669	16	FC	FF
2670	16	FC	FF
2671	16	FC	FF
2672	16	FC	FF
2673	16	FC	FF
2674	16	FC	FF
2675	16	FC	FF
2676	16	FC	FF
2677	16	FC	FF
2678	16	FC	FF
2679	16	FC	FF
2680	16	FC	FF
2681	16	FC	FF
2682	16	FC	FF
2683	16	FC	FF
2684	16	FC	FF
2685	16	FC	FF
2686	16	FC	FF
2687	16	FC	FF
2688	16	FC	FF
2689	16	FC	FF
2690	16	FC	FF
2691	16	FC	FF
2692	16	FC	FF
2693	16	FC	FF
2694	16	FC	FF
2695	16	FC	FF
2696	16	FC	FF
2697	16	FC	FF
2698	16	FC	FF
2699	16	FC	FF
2700	16	FC	FF
2701	16	FC	FF
2702	16	FC	FF
2703	16	FC	FF
2704	16	FC	FF
2705	16	FC	FF
2706	16	FC	FF
2707	16	FC	FF
2708	16	FC	FF
2709	16	FC	FF
2710	16	FC	FF
2711	16	FC	FF
2712	16	FC	FF
2713	16	FC	FF
2714	16	FC	FF
2715	16	FC	FF
2716	16	FC	FF
2717	16	FC	FF
2718	16	FC	FF
2719	16	FC	FF
2720	16	FC	FF
2721	16	FC	FF
2722	16	FC	FF
2723	16	FC	FF
2724	16	FC	FF
2725	16	FC	FF
2726	16	FC	FF
2727	16	FC	FF
2728	16	FC	FF
2729	16	FC	FF
2730	16	FC	FF
2731	16	FC	FF
2732	16	FC	FF
2733	16	FC	FF
2734	16	FC	FF
2735	16	FC	FF
2736	16	FC	FF
2737	16	FC	FF
2738	16	FC	FF
2739	16	FC	FF
2740	16	FC	FF
2741	16	FC	FF
2742	16	FC	FF
2743	16	FC	FF
2744	16	FC	FF
2745	16	FC	FF
2746	16	FC	FF
2747	16	FC	FF
2748	16	FC	FF
2749	16	FC	FF
2750	16	FC	FF
2751	16	FC	FF
2752	16	FC	FF
2753	16	FC	FF
2754	16	FC	FF
2755	16	FC	FF
2756	16	FC	FF
2757	16	FC	FF
2758	16	FC	FF
2759	16	FC	FF
2760	16	FC	FF
2761	16	FC	FF
2762	16	FC	FF
2763	16	FC	FF
2764	16	FC	FF
2765	16	FC	FF
2766	16	FC	FF
2767	16	FC	FF
2768	16	FC	FF
2769	16	FC	FF
2770	16	FC	FF
2771	16	FC	FF
2772	16	FC	FF
2773	16	FC	FF
2774	16	FC	FF
2775	16	FC	FF
2776	16	FC	FF
2777	16	FC	FF
2778	16	FC	FF
2779	16	FC	FF
2780	16	FC	FF
2781	16	FC	FF
2782	16	FC	FF
2783	16	FC	FF
2784	16	FC	FF
2785	16	FC	FF
2786	16	FC	FF
2787	16	FC	FF
2788	16	FC	FF
2789	16	FC	FF
2790	16	FC	FF
2791	16	FC	FF
2792	16	FC	FF
2793	16	FC	FF
2794	16	FC	FF
2795	16	FC	FF
2796	16	FC	FF
2797	16	FC	FF
2798	16	FC	FF
2799	16	FC	FF
2800	16	FC	FF
2801	16	FC	FF
2802	16	FC	FF
2803	16	FC	FF
2804	0	0A	FF
2805	0	0A	FF
2806	0	0A	FF
2807	0	0A	FF
2808	0	0A	FF
2809	0	0A	FF
2810	0	0A	FF
2811	0	0A	FF
2812	0	0A	FF
2813	0	0A	FF
2814	0	0A	FF
2815	0	0A	FF
2816	0	0A	FF
2817	0	0A	FF
2818	0	0A	FF
