frame	crossing	r0	top_r1	split_r1	r5
6750	10	FC	E2	E2	0A
6751	10	FC	E2	E2	0A
6752	10	FC	E2	E2	0A
6753	10	FC	E2	E2	0A
6754	10	FC	E2	E2	0A
6755	10	FC	E2	E2	0A
6756	10	FC	E2	E2	0A
6757	10	FC	E2	E2	0A
6758	10	FC	E2	E2	0A
6759	10	FC	E2	E2	0A
6760	10	FC	E2	E2	0A
6761	10	FC	E2	E2	0A
6762	10	FC	E2	E2	0A
6763	10	FC	E2	E2	0A
6764	10	FC	E2	E2	0A
6765	10	FC	E2	E2	0A
6766	10	FC	E2	E2	0A
6767	10	FC	E2	E2	0A
6768	10	FC	E2	E2	0A
6769	10	FC	E2	E2	0A
6770	10	FC	E2	E2	0A
6771	10	FC	E2	E2	0A
6772	10	FC	E2	E2	0A
6773	10	FC	E2	E2	0A
6774	10	FC	E2	E2	0A
6775	10	FC	E2	E2	0A
6776	10	FC	E2	E2	0A
6777	10	FC	E2	E2	0A
6778	10	FC	E2	E2	0A
6779	10	FC	E2	E2	0A
6780	10	FC	E2	E2	0A
6781	10	FC	E2	E2	0A
6782	10	FC	E2	E2	0A
6783	10	FC	E2	E2	0A
6784	10	FC	E2	E2	0A
6785	10	FC	E2	E2	0A
6786	10	FC	E2	E2	0A
6787	10	FC	E2	E2	0A
6788	10	FC	E2	E2	0A
6789	16	FC	E2	E2	0A
6790	16	FC	E2	E2	0A
6791	16	FC	E2	E2	0A
6792	16	FC	E2	E2	0A
6793	16	FC	E2	E2	0A
6794	16	FC	E2	E2	0A
6795	16	FC	E2	E2	0A
6796	16	FC	E2	E2	0A
6797	16	FC	E2	E2	0A
6798	16	FC	E2	E2	0A
6799	16	FC	E2	E2	0A
6800	16	FC	E2	E2	0A
6801	16	FC	E2	E2	0A
6802	16	FC	E2	E2	0A
6803	16	FC	E2	E2	0A
6804	16	FC	E2	E2	0A
6805	16	FC	E2	E2	0A
6806	16	FC	E2	E2	0A
6807	16	FC	E2	E2	0A
6808	16	FC	E2	E2	0A
6809	16	FC	E2	E2	0A
6810	16	FC	E2	E2	0A
6811	16	FC	E2	E2	0A
6812	16	FC	E2	E2	0A
6813	16	FC	E2	E2	0A
6814	16	FC	E2	E2	0A
6815	16	FC	E2	E2	0A
6816	16	FC	E2	E2	0A
6817	16	FC	E2	E2	0A
6818	16	FC	E2	E2	0A
6819	16	FC	E2	E2	0A
6820	16	FC	E2	E2	0A
6821	16	FC	E2	E2	0A
6822	16	FC	E2	E2	0A
6823	16	FC	E2	E2	0A
6824	16	FC	E2	E2	0A
6825	16	FC	E2	E2	0A
6826	16	FC	E2	E2	0A
6827	16	FC	E2	E2	0A
6828	16	FC	E2	E2	0A
6829	16	FC	E2	E2	0A
6830	16	FC	E2	E2	0A
6831	16	FC	E2	E2	0A
6832	16	FC	E2	E2	0A
6833	16	FC	E2	E2	0A
6834	16	FC	E2	E2	0A
6835	16	FC	E2	E2	0A
6836	16	FC	E2	E2	0A
6837	16	FC	E2	E2	0A
6838	16	FC	E2	E2	0A
6839	16	FC	E2	E2	0A
6840	16	FC	E2	E2	0A
6841	16	FC	E2	E2	0A
6842	16	FC	E2	E2	0A
6843	16	FC	E2	E2	0A
6844	16	FC	E2	E2	0A
6845	16	FC	E2	E2	0A
6846	16	FC	E2	E2	0A
6847	16	FC	E2	E2	0A
6848	16	FC	E2	E2	0A
6849	16	FC	E2	E2	0A
6850	16	FC	E2	E2	0A
6851	16	FC	E2	E2	0A
6852	16	FC	E2	E2	0A
6853	16	FC	E2	E2	0A
6854	16	FC	E2	E2	0A
6855	16	FC	E2	E2	0A
6856	16	FC	E2	E2	0A
6857	16	FC	E2	E2	0A
6858	16	FC	E2	E2	0A
6859	16	FC	E2	E2	14
6860	16	FC	E2	E2	14
6861	16	FC	E2	E2	14
6862	16	FC	E2	E2	14
6863	16	FC	E2	E2	14
6864	16	FC	E2	E2	14
6865	16	FC	E2	E2	14
6866	16	FC	E2	E2	14
6867	0	FC	E2	14	14
6868	0	FC	E2	14	14
6869	0	FC	E2	14	14
6870	0	FC	E2	14	14
6871	0	FC	E2	14	14
6872	0	FC	E2	14	14
6873	0	FC	E2	14	14
6874	0	FC	E2	14	14
6875	0	FC	E2	14	14
6876	0	FC	E2	14	14
6877	0	FC	E2	14	14
6878	0	FC	E2	14	14
6879	0	FC	E2	14	14
6880	0	FC	E2	14	14
6881	0	FC	E2	14	14
6882	0	FC	E2	14	14
6883	0	FC	E2	14	14
6884	0	FC	E2	14	14
6885	0	FC	E2	14	14
6886	0	FC	E2	14	14
6887	0	FC	E2	14	14
6888	0	FC	E2	14	14
6889	0	FC	E2	14	14
6890	0	FC	E2	14	14
6891	0	FC	E2	14	14
6892	0	FC	E2	14	14
6893	0	FC	E2	14	14
6894	0	FC	E2	14	14
6895	0	FC	E2	14	14
6896	0	FC	E2	14	14
6897	0	FC	E2	14	14
6898	0	FC	E2	14	14
6899	0	FC	E2	14	14
6900	0	FC	E2	14	14
6901	0	FC	E2	14	14
6902	0	FC	E2	14	14
6903	0	FC	E2	14	14
6904	0	FC	E2	14	14
6905	0	FC	E2	14	14
6906	0	FC	E2	14	14
6907	0	FC	E2	14	14
6908	0	FC	E2	14	14
6909	0	FC	E2	14	14
6910	0	FC	E2	14	14
6911	0	FC	E2	14	14
6912	0	FC	E2	14	14
6913	0	FC	E2	14	14
6914	0	FC	E2	14	14
6915	0	FC	E2	14	14
6916	0	FC	E2	14	14
6917	0	FC	E2	14	14
6918	0	FC	E2	14	14
6919	0	FC	E2	14	14
6920	0	FC	E2	14	14
6921	0	FC	E2	14	14
6922	0	FC	E2	14	14
6923	0	FC	E2	14	14
6924	0	FC	E2	14	14
6925	0	FC	E2	14	14
