frame	crossing	r0	top_r1	split0_r1	split1_r1	r5_0	r5_1
6750	0	F6	E2	0A	0A	0A	0A
6751	0	F6	E2	0A	0A	0A	0A
6752	0	F6	E2	0A	0A	0A	0A
6753	0	F6	E2	0A	0A	0A	0A
6754	0	F6	E2	0A	0A	0A	0A
6755	0	F6	E2	0A	0A	0A	0A
6756	0	F6	E2	0A	0A	0A	0A
6757	0	F6	E2	0A	0A	0A	0A
6758	0	F6	E2	0A	0A	0A	0A
6759	0	F6	E2	0A	0A	0A	0A
6760	0	F6	E2	0A	0A	0A	0A
6761	0	F6	E2	0A	0A	0A	0A
6762	0	F6	E2	0A	0A	0A	0A
6763	0	F6	E2	0A	0A	0A	0A
6764	2	08	0A	0A	0A	0A	0A
6765	2	08	0A	0A	0A	0A	0A
6766	2	08	0A	0A	0A	0A	0A
6767	2	08	0A	0A	0A	0A	0A
6768	2	08	0A	0A	0A	0A	0A
6769	2	08	0A	0A	0A	0A	0A
6770	2	08	0A	0A	0A	0A	0A
6771	2	08	0A	0A	0A	0A	0A
6772	2	08	0A	0A	0A	0A	0A
6773	2	08	0A	0A	0A	0A	0A
6774	2	08	0A	0A	0A	0A	0A
6775	2	08	0A	0A	0A	0A	0A
6776	2	08	0A	0A	0A	0A	0A
6777	2	08	0A	0A	0A	0A	0A
6778	2	08	0A	0A	0A	0A	0A
6779	2	08	0A	0A	0A	0A	0A
6780	2	08	0A	0A	0A	0A	0A
6781	2	08	0A	0A	0A	0A	0A
6782	2	08	0A	0A	0A	0A	0A
6783	2	08	0A	0A	0A	0A	0A
6784	2	08	0A	0A	0A	0A	0A
6785	2	08	0A	0A	0A	0A	0A
6786	2	08	0A	0A	0A	0A	0A
6787	2	08	0A	0A	0A	0A	0A
6788	2	08	0A	0A	0A	0A	0A
6789	2	08	0A	0A	0A	0A	0A
6790	2	08	0A	0A	0A	0A	0A
6791	2	08	0A	0A	0A	0A	0A
6792	2	08	0A	0A	0A	0A	0A
6793	2	08	0A	0A	0A	0A	0A
6794	2	08	0A	0A	0A	0A	0A
6795	2	08	0A	0A	0A	0A	0A
6796	2	08	0A	0A	0A	0A	0A
6797	2	08	0A	0A	0A	0A	0A
6798	2	08	0A	0A	0A	0A	0A
6799	2	08	0A	0A	0A	0A	0A
6800	2	08	0A	0A	0A	0A	0A
6801	2	08	0A	0A	0A	0A	0A
6802	2	08	0A	0A	0A	0A	0A
6803	2	08	0A	0A	0A	0A	0A
6804	2	08	0A	0A	0A	0A	0A
6805	2	08	0A	0A	0A	0A	0A
6806	2	08	0A	0A	0A	0A	0A
6807	2	08	0A	0A	0A	0A	0A
6808	2	08	0A	0A	0A	0A	0A
6809	2	08	0A	0A	0A	0A	0A
6810	2	08	0A	0A	0A	0A	0A
6811	2	08	0A	0A	0A	0A	0A
6812	2	08	0A	0A	0A	0A	0A
6813	2	08	0A	0A	0A	0A	0A
6814	2	08	0A	0A	0A	0A	0A
6815	2	08	0A	0A	0A	0A	0A
6816	2	08	0A	0A	0A	0A	0A
6817	2	08	0A	0A	0A	0A	0A
6818	2	08	0A	0A	0A	0A	0A
6819	2	08	0A	0A	0A	0A	0A
6820	2	08	0A	0A	0A	0A	0A
6821	2	08	0A	0A	0A	0A	0A
6822	2	08	0A	0A	0A	0A	0A
6823	2	08	0A	0A	0A	0A	0A
6824	2	08	0A	0A	0A	0A	0A
6825	0	08	0A	0A	0A	0A	0A
6826	0	08	0A	0A	0A	0A	0A
6827	0	08	0A	0A	0A	0A	0A
6828	0	08	0A	0A	0A	0A	0A
6829	0	08	0A	0A	0A	0A	0A
6830	0	08	0A	0A	0A	0A	0A
6831	0	08	0A	0A	0A	0A	0A
6832	0	08	0A	0A	0A	0A	0A
6833	0	08	0A	0A	0A	0A	0A
6834	0	08	0A	0A	0A	0A	0A
6835	0	08	0A	0A	0A	0A	0A
6836	0	08	0A	0A	0A	0A	0A
6837	0	08	0A	0A	0A	0A	0A
6838	0	08	0A	0A	0A	0A	0A
6839	0	08	0A	0A	0A	0A	0A
6840	0	08	0A	0A	0A	0A	0A
6841	0	08	0A	0A	0A	0A	0A
6842	0	08	0A	0A	0A	0A	0A
6843	0	08	0A	0A	0A	0A	0A
6844	0	08	0A	0A	0A	0A	0A
6845	0	08	0A	0A	0A	0A	0A
6846	0	08	0A	0A	0A	0A	0A
6847	0	08	0A	0A	0A	0A	0A
6848	0	08	0A	0A	0A	0A	0A
6849	0	08	0A	0A	0A	0A	0A
6850	0	08	0A	0A	0A	0A	0A
6851	0	08	0A	0A	0A	0A	0A
6852	0	08	0A	0A	0A	0A	0A
6853	0	08	0A	0A	0A	0A	0A
6854	0	FC	E2	E2	0A	0A	0A
6855	0	FC	E2	E2	0A	0A	0A
6856	0	FC	E2	E2	0A	0A	0A
6857	0	FC	E2	E2	0A	0A	0A
6858	0	FC	E2	E2	0A	0A	0A
6859	0	FC	E2	E2	0A	0A	0A
6860	0	FC	E2	E2	0A	0A	0A
6861	0	FC	E2	E2	0A	0A	0A
6862	0	FC	E2	E2	0A	0A	0A
6863	0	FC	E2	E2	0A	0A	0A
6864	0	FC	E2	E2	0A	0A	0A
6865	0	FC	E2	E2	0A	0A	0A
6866	0	FC	E2	E2	0A	0A	0A
6867	0	FC	E2	E2	0A	0A	0A
6868	0	FC	E2	E2	0A	0A	0A
6869	0	FC	E2	E2	0A	0A	0A
6870	0	FC	E2	E2	0A	0A	0A
6871	0	FC	E2	E2	0A	0A	0A
6872	0	FC	E2	E2	0A	0A	0A
6873	0	FC	E2	E2	0A	0A	0A
6874	0	FC	E2	E2	0A	0A	0A
