frame	crossing_weapon	top_r0	ui_r2	ui_r3	backup_r2	backup_r3	flag
6500	0	08	00	00	00	00	00
6501	0	08	00	00	00	00	00
6502	0	08	00	00	00	00	00
6503	0	08	00	00	00	00	00
6504	0	08	00	00	00	00	00
6505	0	08	00	00	00	00	00
6506	0	08	00	00	00	00	00
6507	0	08	00	00	00	00	00
6508	0	08	00	00	00	00	00
6509	0	08	00	00	00	00	00
6510	0	08	00	00	00	00	00
6511	0	08	00	00	00	00	00
6512	0	08	00	00	00	00	00
6513	0	08	00	00	00	00	00
6514	0	08	00	00	00	00	00
6515	0	08	00	00	00	00	00
6516	0	08	00	00	00	00	00
6517	0	08	00	00	00	00	00
6518	0	08	00	00	00	00	00
6519	0	08	00	00	00	00	00
6520	0	08	00	00	00	00	00
6521	0	08	00	00	00	00	00
6522	0	08	00	00	00	00	00
6523	0	08	00	00	00	00	00
6524	0	08	00	00	00	00	00
6525	0	08	00	00	00	00	00
6526	0	08	00	00	00	00	00
6527	0	08	00	00	00	00	00
6528	0	08	00	00	00	00	00
6529	0	08	00	00	00	00	00
6530	0	08	00	00	00	00	00
6531	0	08	00	00	00	00	00
6532	0	08	00	00	00	00	00
6533	0	08	00	00	00	00	00
6534	0	08	00	00	00	00	00
6535	0	08	00	00	00	00	00
6536	0	08	00	00	00	00	00
6537	0	08	00	00	00	00	00
6538	0	08	00	00	00	00	00
6539	0	08	00	00	00	00	00
6540	0	08	00	00	00	00	00
6541	0	08	00	00	00	00	00
6542	0	08	00	00	00	00	00
6543	0	08	00	00	00	00	00
6544	0	08	00	00	00	00	00
6545	0	08	00	00	00	00	00
6546	0	08	00	00	00	00	00
6547	0	08	00	00	00	00	00
6548	0	08	00	00	00	00	00
6549	0	08	00	00	00	00	00
6550	0	08	00	00	00	00	00
6551	0	08	00	00	00	00	00
6552	0	08	00	00	00	00	00
6553	0	08	00	00	00	00	00
6554	0	08	00	00	00	00	00
6555	0	08	00	00	00	00	00
6556	0	08	00	00	00	00	00
6557	0	08	00	00	00	00	00
6558	0	08	00	00	00	00	00
6559	0	08	00	00	00	00	00
6560	0	08	00	00	00	00	00
6561	0	08	00	00	00	00	00
6562	0	08	00	00	00	00	00
6563	0	08	00	00	00	00	00
6564	0	08	00	00	00	00	00
6565	0	08	00	00	00	00	00
6566	0	08	00	00	00	00	00
6567	0	08	00	00	00	00	00
6568	0	08	00	00	00	00	00
6569	0	08	00	00	00	00	00
6570	0	08	00	00	00	00	00
6571	0	08	00	00	00	00	00
6572	0	08	00	00	00	00	00
6573	0	08	00	00	00	00	00
6574	0	08	00	00	00	00	00
6575	0	08	00	00	00	00	00
6576	0	08	00	00	00	00	00
6577	0	08	00	00	00	00	00
6578	0	08	00	00	00	00	00
6579	0	08	00	00	00	00	00
6580	0	08	00	00	00	00	00
